AOO.justification,AOO.range,AOOContinuingDecline.isInContinuingDecline,AOOContinuingDecline.justification,AOOContinuingDecline.qualifier,AOODetails.breedingRange,AOODetails.breedingRangeJustification,AOODetails.nonbreedingRange,AOODetails.nonbreedingRangeJustification,AOOExtremeFluctuation.isFluctuating,AOOExtremeFluctuation.justification,AreaRestricted.isRestricted,AreaRestricted.justification,AvgAnnualFecundity.fecundity,AvgReproductiveAge.age,AvgReproductiveAge.units,BirthSize.size,Congregatory.value,CropWildRelative.isRelative,CurrentTrendDataDerivation.value,DepthLower.limit,DepthUpper.limit,DepthZone.depthZone,EOO.justification,EOO.range,EOOContinuingDecline.isContinuingDecline,EOOContinuingDecline.justification,EOOContinuingDecline.qualifier,EOOExtremeFluctuation.isFluctuating,EOOExtremeFluctuation.justification,EggLaying.layEggs,ElevationLower.limit,ElevationUpper.limit,ExtinctionProbabilityGenerations3.justification,ExtinctionProbabilityGenerations3.range,ExtinctionProbabilityGenerations5.justification,ExtinctionProbabilityGenerations5.range,ExtinctionProbabilityYears100.justification,ExtinctionProbabilityYears100.range,FemaleMaturityAge.age,FemaleMaturityAge.units,FemaleMaturitySize.size,FreeLivingLarvae.hasStage,GenerationLength.justification,GenerationLength.quality,GenerationLength.range,GestationTime.time,GestationTime.units,HabitatContinuingDecline.isDeclining,HabitatContinuingDecline.justification,HabitatContinuingDecline.qualifier,IdentificationDescription.text,InPlaceEducationControlled.note,InPlaceEducationControlled.value,InPlaceEducationInternationalLegislation.note,InPlaceEducationInternationalLegislation.value,InPlaceEducationSubjectToPrograms.note,InPlaceEducationSubjectToPrograms.value,InPlaceLandWaterProtectionAreaPlanned.note,InPlaceLandWaterProtectionAreaPlanned.value,InPlaceLandWaterProtectionInPA.note,InPlaceLandWaterProtectionInPA.value,InPlaceLandWaterProtectionInvasiveControl.note,InPlaceLandWaterProtectionInvasiveControl.value,InPlaceLandWaterProtectionPercentProtected.note,InPlaceLandWaterProtectionPercentProtected.value,InPlaceLandWaterProtectionSitesIdentified.note,InPlaceLandWaterProtectionSitesIdentified.value,InPlaceResearchMonitoringScheme.note,InPlaceResearchMonitoringScheme.value,InPlaceResearchRecoveryPlan.note,InPlaceResearchRecoveryPlan.value,InPlaceSpeciesManagementExSitu.note,InPlaceSpeciesManagementExSitu.value,InPlaceSpeciesManagementHarvestPlan.note,InPlaceSpeciesManagementHarvestPlan.value,InPlaceSpeciesManagementReintroduced.note,InPlaceSpeciesManagementReintroduced.value,LiveBirth.liveBirth,Livelihoods.noInfo,LocationContinuingDecline.inDecline,LocationContinuingDecline.justification,LocationContinuingDecline.qualifier,LocationExtremeFluctuation.isFluctuating,LocationExtremeFluctuation.justification,LocationsNumber.justification,LocationsNumber.range,Longevity.longevity,Longevity.units,MaleMaturityAge.age,MaleMaturityAge.units,MaleMaturitySize.size,MatureIndividualsSubpopulation.value,MaxSize.size,MaxSubpopulationSize.range,MovementPatterns.pattern,NaturalMortality.value,NoThreats.noThreats,NonConsumptiveUse.isNonConsumptiveUse,NonConsumptiveUseDescription.narrative,NotUtilized.isNotUtilized,Parthenogenesis.exhibitsParthenogenesis,PopulationContinuingDecline.isDeclining,PopulationContinuingDecline.justification,PopulationContinuingDecline.qualifier,PopulationDeclineGenerations1.justification,PopulationDeclineGenerations1.qualifier,PopulationDeclineGenerations1.range,PopulationDeclineGenerations2.justification,PopulationDeclineGenerations2.qualifier,PopulationDeclineGenerations2.range,PopulationDeclineGenerations3.justification,PopulationDeclineGenerations3.qualifier,PopulationDeclineGenerations3.range,PopulationExtremeFluctuation.isFluctuating,PopulationExtremeFluctuation.justification,PopulationIncreaseRate.narrative,PopulationReductionFuture.direction,PopulationReductionFuture.justification,PopulationReductionFuture.qualifier,PopulationReductionFuture.range,PopulationReductionFutureBasis.detail,PopulationReductionFutureBasis.value,PopulationReductionPast.direction,PopulationReductionPast.justification,PopulationReductionPast.qualifier,PopulationReductionPast.range,PopulationReductionPastBasis.detail,PopulationReductionPastBasis.value,PopulationReductionPastCeased.value,PopulationReductionPastReversible.value,PopulationReductionPastUnderstood.value,PopulationReductionPastandFuture.direction,PopulationReductionPastandFuture.justification,PopulationReductionPastandFuture.numYears,PopulationReductionPastandFuture.qualifier,PopulationReductionPastandFuture.range,PopulationReductionPastandFutureBasis.detail,PopulationReductionPastandFutureBasis.value,PopulationReductionPastandFutureCeased.value,PopulationReductionPastandFutureReversible.value,PopulationReductionPastandFutureUnderstood.value,PopulationSize.range,ReproductivePeriodicity.value,SevereFragmentation.isFragmented,SevereFragmentation.justification,SubpopulationContinuingDecline.isDeclining,SubpopulationContinuingDecline.justification,SubpopulationContinuingDecline.qualifier,SubpopulationExtremeFluctuation.isFluctuating,SubpopulationExtremeFluctuation.justification,SubpopulationNumber.justification,SubpopulationNumber.range,SubpopulationSingle.value,ThreatsUnknown.value,TrendInDomesticOfftake.value,TrendInWildOfftake.value,UTCaptiveHarvest.value,UTHarvestTrendComments.narrative,UTIntlCommercialValue.value,UTLocalLivelihood.localcommercial,UTLocalLivelihood.localcommercialDetail,UTLocalLivelihood.subsistence,UTLocalLivelihood.subsistenceRationale,UTNatlCommercialValue.value,UseTradeNoInformation.value,WaterBreeding.value,YearOfPopulationEstimate.value,internal_taxon_id
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,1500,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,No,false,,,,,,,,,,,,,,,,,,true,false,,true,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,false,,,,,,,,,,,false,No,,45550871
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,1000,,,,,,,,,,No,,,,,,,,,,,,,,,,,,Migrated from Conservation Measures 4.4 Habitat and Site-based actions -> Protected Areas: in-place,Yes,,,,,,,,,,,,,,,,,No,false,,,,,,,,,,,,,,,,,,false,false,,true,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,false,,,,,,,,,,,false,No,,54393
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,1500,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,Unknown,,,,,,,,,,,No,false,,,,,,,,,,,,,,,,,,false,false,,true,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,false,,,,,,,,,,,false,Yes,,54573
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,Unknown,,,,,,,,,,,No,false,,,,,,,,,,,,,,,,,,true,false,,true,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,false,,,,,,,,,,,false,Yes,,54636
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,3400,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,Unknown,,,,,,,,,,,No,false,,,,,,,,,,,,,,,,,,true,false,,true,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,false,,,,,,,,,,,false,Yes,,54648
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,2000,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,Unknown,,,,,,,,,,,No,false,,,,,,,,,,,,,,,,,,false,false,,true,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,false,,,,,,,,,,,true,Yes,,54649
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,1900,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,,,,,,,,,No,false,,,,,,,,,,,,,,,,,,true,false,,true,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,false,,,,,,,,,,,false,Yes,,54659
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,1500,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,Unknown,,,,,,,,,,,No,false,,,,,,,,,,,,,,,,,,false,false,,true,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,false,,,,,,,,,,,false,Yes,,54724
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,Unknown,,,,,,,,,,,No,false,,,,,,,,,,,,,,,,,,true,false,,true,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,false,,,,,,,,,,,false,Yes,,54736
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,1000,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,Unknown,,,,,,,,,,,No,false,,,,,,,,,,,,,,,,,,false,false,,true,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,false,,,,,,,,,,,false,Yes,,54745
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,Unknown,,,,,,,,,,,No,false,,,,,,,,,,,,,,,,,,false,false,,true,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,false,,,,,,,,,,,false,Yes,,54748
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,1500,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,Unknown,,,,,,,,,,,No,false,,,,,,,,,,,,,,,,,,false,false,,true,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,false,,,,,,,,,,,false,Yes,,54793
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1000,1600,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,Unknown,,,,,,,,,,,No,false,,,,,,,,,,,,,,,,,,false,false,,true,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,false,,,,,,,,,,,false,Yes,,54801
