BiogeographicRealm.realm,ConservationActionsDocumentation.narrative,HabitatDocumentation.narrative,MapStatus.status,PopulationDocumentation.narrative,PopulationTrend.value,RangeDocumentation.narrative,RedListAssessmentDate.value,RedListCriteria.critVersion,RedListCriteria.dataDeficientReason,RedListCriteria.isManual,RedListCriteria.manualCategory,RedListCriteria.manualCriteria,RedListCriteria.possiblyExtinct,RedListCriteria.possiblyExtinctCandidate,RedListCriteria.yearLastSeen,RedListRationale.value,RedListReasonsForChange.catCritChanges,RedListReasonsForChange.changeReasons,RedListReasonsForChange.otherReason,RedListReasonsForChange.timeframe,RedListReasonsForChange.type,System.value,ThreatsDocumentation.value,UseTradeDocumentation.value,internal_taxon_id
Afrotropical,<em><strong>Conservation Actions</strong></em><br/>It occurs in many protected areas.<br/><br/><em><strong>Research Needed</strong></em><br/>Further research is required to clarify the taxonomy of this species.,"It is found in a very wide variety of habitats, including forest, savanna woodland, thickets, and suburban areas. It is typically found in leaf-litter. It breeds by direct development and is not dependent upon water. It lays its eggs in hollows or burrows in damp earth, often under bushes or around the roots of trees.",Done,It is an abundant species across its range and its population is thought to be stable.,Stable,"This species ranges from coastal Kenya and eastern and southern Tanzania (including the island of Zanzibar), through Mozambique, Zambia and southern Democratic Republic of the Congo to western Angola, northern Botswana, Zimbabwe and northeastern South Africa. There is an apparently isolated population in the Nyumbeni Hills in central Kenya. It occurs from sea level up to at least 1,500 m asl. Specimens from the Bwindi and Budongo Forests of western Uganda have been assigned to this species, but they are significantly outside the main range of the species so they are excluded from the distribution map, pending confirmation of their status.",02/10/2015,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern in view of its wide distribution, tolerance of a broad range of habitats, presumed large population.",,,,,,Terrestrial,"In view of its tolerance to different habitats, it does not appear to be threatened.",There are no reports of this species being utilized.,45550871
Afrotropical,It occurs in several protected areas.,"It lives and breeds in leaf litter in coastal forest and thicket, and adjacent grasslands. Its calling is stimulated by rain and it is commonly heard during daylight hours in wet weather. It is very adaptable, and lives in gardens, parks, and alien tree plantations. Breeding is by direct development.",Done,It is a very abundant species.,Stable,"This species occurs along the eastern coastal areas of South Africa, from just south of Port St Johns north to the Mozambique border. It ranges inland up to 1,000 m asl. It has not been recorded from Mozambique, but it might occur there.",06/09/2012,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern in view of its wide distribution in eastern South Africa, tolerance of a broad range of habitats, and presumed large population.",Same category and criteria,,,,No change,Terrestrial,"It is adversely affected by coastal development, in particular expansion of sugar cane cultivation and urban expansion.",There are no reports of this species being utilized.,54393
Afrotropical,It occurs in several protected areas.,"It is a species of fynbos heathland, surviving to some extent in agricultural areas. It breeds in temporary depressions in sandy areas, and also in clay soils.",Done,"It has disappeared from certain sites where it used to be common around Cape Town and Stellenbosch, but it is probably more stable and common through most of its range. It is thinly spread, and is rarely encountered in the eastern part of its distribution, probably due to limited habitat, but large-scale emergences have been observed.",Unknown,"This species is restricted to the southwestern Cape in South Africa, ranging from near Humansdorp in the east along the coastal flats and Cape Fold Mountains to Nieuwoudtville in the west. It occurs from sea level up to 1,500 m asl. There are very few recent records from the eastern part of its range, and there might be genuine gaps in its distribution not reflected in the map.",19/06/2013,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern in view of its wide distribution, tolerance of a degree of habitat modification and its presumed large population.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"The main threats are continuing coastal development, the impacts of alien plants on its habitat, and wetland drainage for urbanization and agriculture.","<p>There are no reports of this species being utilized.<a name=""_GoBack""></a></p>",54573
Afrotropical,It occurs in many protected areas.,"It is a species of open bush land, grassland and savannah woodland, and is often associated with rocky outcrops, and occasionally with sandy areas. It breeds in temporary pools. It does not occur in anthropogenically disturbed habitats.",Done,It is a locally abundant species.,Unknown,"This species occurs in northeastern South Africa, Swaziland, most of Zimbabwe, southern and central Mozambique and eastern Botswana, ranging westwards into the Caprivi Strip of Namibia and southwestern Zambia. It probably occurs in southeastern Angola, and the representation of this species' distribution on the map includes Angola. An isolated record from western Namibia is not mapped, and requires confirmation (it possibly refers to <em>Bufo dombensis</em> (M. Tandy pers. comm.).",19/06/2013,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern in view of its wide distribution, tolerance of a broad range of habitats and its presumed large population.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),Its habitat is not threatened and this species is not believed to be at risk.,"<p>There are no reports of this species being utilized.<a name=""_GoBack""></a></p>",54636
Afrotropical,It occurs in many protected areas.,"It lives in many habitats, including fynbos heathland, succulent karoo, thicket, grassland, and Nama karoo. It breeds in many different types of permanent and temporary waterbodies, including streams, waterholes, lakes, rain pools, and even hoof prints. It is tolerant of low temperatures.",Done,It is an abundant species.,Unknown,"This species is widespread in South Africa, extreme southwestern Namibia, Lesotho and Swaziland. It ranges from sea level up to 3,400 m asl.",19/06/2013,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern in view of its wide distribution, tolerance of a broad range of habitats and its presumed large population.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),It is an adaptable species that is unlikely to be threatened.,"<p>There are no reports of this species being utilized.<a name=""_GoBack""></a></p>",54648
Afrotropical,It occurs in many protected areas.,"It is a denizen of arid savannas, wooded savannas, and agricultural areas, breeding in temporary water (vleis, dams or pans), and sometimes-artificial pools and rivers. In western Tanzania toads were trap-captured entirely in woodland areas (Gardner<span style=""font-style: italic;""> et al.</span> 2007).",Done,It is common in eastern and southern Ethiopia and in southern Africa.,Unknown,"This species occurs from Ethiopia and Somalia south to northern parts of South Africa and the northern and eastern parts of Botswana. The apparent range disjunctions in parts of Ethiopia, Somalia and Kenya might be artefacts of poor sampling. It is likely that the northeastern African populations (from northern Tanzania northwards) and the southern African populations (from Zambia southwards) belong to separate species, with true <span style=""font-style: italic;"">Amietophrynus garmani</span> occurring in northeastern Africa. The association of the recently reported population from western Tanzania (Gardner <span style=""font-style: italic;"">et al. </span>2007) to either of these northeastern and southern populations needs to be determined. The distributional boundary between this species and <em>Amietophrynus poweri</em> in southern Africa is very unclear, and they might not be separate species. In northeastern Africa it occurs from sea level up to 2,000 m asl.",19/06/2013,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern in view of its wide distribution, tolerance of a broad range of habitats and its presumed large population.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"The main threat is environmental degradation resulting from human expansion, settlement and agricultural encroachment. In western Tanzania, much of the miombo woodland area is increasingly threatened by habitat degradation following conversion to agriculture or overharvesting (see Gardner<span style=""font-style: italic;""> et al.</span> 2007). However, this is an adaptable species that is not considered to be seriously at risk.",<p>There are no reports of this species being utilized.</p>,54649
Afrotropical,It occurs in many protected areas.,"It is a very adaptable species occurring in a wide variety of savannahs, grassland, thickets, and agricultural land. It is able to breed in more or less permanent and semi-permanent standing water. It breeds frequently in garden pools.",Done,"It is a very common species. It appears to be spreading in South Africa, perhaps at the expense of <em>Bufo rangeri</em>.",Increasing,"This species occurs from extreme southern Somalia (M. Tandy pers. comm.), central and southern Kenya, though Tanzania, southern Democratic Republic of Congo, and Angola, south to northern Namibia, northern central and eastern South Africa. It occurs on the islands of Zanzibar and Pemba (Tanzania). The boundary between this species and <em>Bufo regularis</em> in Kenya, Uganda and Tanzania is poorly understood, and the map should be regarded as provisional. It is introduced on Reunion (to France) and Mauritius. Records from southeastern Uganda might refer to <em>Bufo regularis</em> and therefore require confirmation. It ranges from sea level up to at least 1,900 m asl.",17/06/2013,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern in view of its wide distribution, tolerance of a broad range of habitats and its presumed large population.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),It is a very adaptable species that is unlikely to be facing any significant threats.,"<p>There are no reports of this species being utilized.<a name=""_GoBack""></a></p>",54659
Afrotropical,It occurs in several protected areas.,"It is a species of grassy, open bushveld areas, and also thickets and agricultural areas. It breeds in large, permanent, usually deep pools, and calls from floating vegetation.",Done,"It is locally abundant, although populations declined in some areas due to habitat loss.",Unknown,"This species, which is endemic to South Africa, is known mainly from the Eastern Cape Province east to Umtata in the former Transkei, with a few records from the Western Cape Province. It is mainly found quite close to the coast, but it ranges inland to Grahamstown, Kei Road, Stutterheim and Amatola Mountains. It is generally below 1,000 m asl, but ranges up to 1,500 m asl in a few places.",18/06/2013,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern since, although it have a somewhat restricted distribution, it is tolerant of a broad range of habitats and it has a presumed large population.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),It is probably being impacted by habitat fragmentation as a result of urban and agricultural development. Significant numbers of animals are also killed on roads.,"<p>There are no reports of this species being utilized.<a name=""_GoBack""></a></p>",54724
Afrotropical,It occurs in many protected areas.,"It is a denizen of open savannahs, wooded savannahs, thornveldt, river valleys and agricultural areas, breeding in temporary water (vleis, marshes, dams or pans), and sometimes-artificial pools.",Done,"It is a common species, and is often locally abundant.",Unknown,"This species ranges from extreme southern Angola, through the northern two-thirds of Namibia, to Botswana, southward to central South Africa. The eastern limit of its distribution is very uncertain due to confusion with <em>Bufo garmani</em>. It is a low-altitude species.",18/02/2013,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern in view of its wide distribution, tolerance of a broad range of habitats and its presumed large population.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),It is an adaptable species that is not facing any significant threats.,"<p>There are no reports of this species being utilized.<a name=""_GoBack""></a></p>",54736
Afrotropical,It occurs in many protected areas.,"It is a species of fynbos heathland, grassland, dry thicket forest, savannah and agricultural land. It breeds in dams, ponds, and pools along slow-forming streams, tending to favour permanent water.",Done,"It is a common species, though it is apparently declining along the northeastern escarpment of South Africa.",Decreasing,"This species ranges through most of South Africa (excluding the central Karoo region), Swaziland and Lesotho, and almost certainly into extreme southern Namibia. It might also occur in extreme southeastern Botswana, extreme southern Zimbabwe and extreme southern Mozambique, but it has not yet been recorded from any of these countries. It is a low-altitude species, ranging up into the Drakensberg Mountains to over 1,000 m asl.",18/02/2013,3.1,,TRUE,LC,,FALSE,FALSE,,"Listed as Least Concern in view of its wide distribution, tolerance of a broad range of habitats and its presumed large population.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"It is generally not threatened. The cause of decline in northeastern South Africa is not clear, but it is possibly being displaced by <span style=""font-style: italic;"">Bufo gutturalis</span>, which is expanding its range, and with which it is hybridising. <span style=""font-style: italic;"">Bufo gutturalis</span> probably does better than <span style=""font-style: italic;"">B. rangeri </span>in agricultural areas. Its decrease could also be the result of climate change.","<p>There are no reports of this species being utilized.<a name=""_GoBack""></a></p>",54745
