CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceLookup,CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceName,CountryOccurrence.CountryOccurrenceSubfield.formerlyBred,CountryOccurrence.CountryOccurrenceSubfield.origin,CountryOccurrence.CountryOccurrenceSubfield.presence,CountryOccurrence.CountryOccurrenceSubfield.seasonality,internal_taxon_id
UG,,,Native,Presence Uncertain,Resident,45550871
KE,,,Native,Extant,Resident,45550871
AO,,,Native,Extant,Resident,45550871
TZ,,,Native,Extant,Resident,45550871
ZW,,,Native,Extant,Resident,45550871
CD,,,Native,Extant,Resident,45550871
ZM,,,Native,Extant,Resident,45550871
MZ,,,Native,Extant,Resident,45550871
ZA,,,Native,Extant,Resident,45550871
MW,,,Native,Extant,Resident,45550871
BW,,,Native,Extant,Resident,45550871
MZ,,,Native,Presence Uncertain,Resident,54393
ZA,,,Native,Extant,Resident,54393
ZA,,,Native,Extant,Resident,54573
AO,,,Native,Presence Uncertain,Resident,54636
NA,,,Native,Extant,Resident,54636
ZW,,,Native,Extant,Resident,54636
ZM,,,Native,Extant,Resident,54636
SZ,,,Native,Extant,Resident,54636
MZ,,,Native,Extant,Resident,54636
ZA,,,Native,Extant,Resident,54636
BW,,,Native,Extant,Resident,54636
LS,,,Native,Extant,Resident,54648
NA,,,Native,Extant,Resident,54648
SZ,,,Native,Extant,Resident,54648
ZA,,,Native,Extant,Resident,54648
SO,,,Native,Extant,Resident,54649
KE,,,Native,Extant,Resident,54649
TZ,,,Native,Extant,Resident,54649
NA,,,Native,Extant,Resident,54649
ZW,,,Native,Extant,Resident,54649
ZM,,,Native,Extant,Resident,54649
SZ,,,Native,Extant,Resident,54649
MZ,,,Native,Extant,Resident,54649
ET,,,Native,Extant,Resident,54649
ZA,,,Native,Extant,Resident,54649
BW,,,Native,Extant,Resident,54649
KE,,,Native,Extant,,54659
AO,,,Native,Extant,,54659
NA,,,Native,Extant,,54659
BW,,,Native,Extant,,54659
MU,,,Introduced,Extant,,54659
MW,,,Native,Extant,,54659
ZA,,,Native,Extant,,54659
MZ,,,Native,Extant,,54659
RE,,,Introduced,Extant,,54659
LS,,,Native,Extant,,54659
SO,,,Native,Extant,,54659
SZ,,,Native,Extant,,54659
ZM,,,Native,Extant,,54659
CD,,,Native,Extant,,54659
ZW,,,Native,Extant,,54659
TZ,,,Native,Extant,,54659
ZA,,,Native,Extant,Resident,54724
AO,,,Native,Extant,Resident,54736
NA,,,Native,Extant,Resident,54736
ZA,,,Native,Extant,Resident,54736
BW,,,Native,Extant,Resident,54736
LS,,,Native,Extant,Resident,54745
NA,,,Native,Presence Uncertain,Resident,54745
ZW,,,Native,Presence Uncertain,Resident,54745
SZ,,,Native,Extant,Resident,54745
MZ,,,Native,Presence Uncertain,Resident,54745
ZA,,,Native,Extant,Resident,54745
BW,,,Native,Presence Uncertain,Resident,54745
NA,,,Native,Extant,Resident,54748
ZA,,,Native,Extant,Resident,54748
ZA,,,Native,Extant,Resident,54793
BW,,,Native,Presence Uncertain,Resident,54793
LS,,,Native,Extant,Resident,54793
ZA,,,Native,Extant,Resident,54801
BW,,,Native,Extant,Resident,54885
MW,,,Native,Extant,Resident,54885
ZA,,,Native,Extant,Resident,54885
MZ,,,Native,Extant,Resident,54885
LS,,,Native,Presence Uncertain,Resident,54885
SZ,,,Native,Extant,Resident,54885
ZM,,,Native,Extant,Resident,54885
CD,,,Native,Extant,Resident,54885
ZW,,,Native,Extant,Resident,54885
NA,,,Native,Extant,Resident,54885
TZ,,,Native,Extant,Resident,54885
AO,,,Native,Extant,Resident,54885
KE,,,Native,Extant,Resident,54885
LS,,,Native,Extant,Resident,55273
SZ,,,Native,Extant,Resident,55273
ZA,,,Native,Extant,Resident,55273
ZA,,,Native,Extant,Resident,55274
ZA,,,Native,Extant,Resident,55275
ZA,,,Native,Extant,Resident,55276
NE,,,Native,Presence Uncertain,Resident,55279
GH,,,Native,Extant,Resident,55279
CM,,,Native,Extant,Resident,55279
AO,,,Native,Extant,Resident,55279
TZ,,,Native,Extant,Resident,55279
MZ,,,Native,Extant,Resident,55279
MW,,,Native,Presence Uncertain,Resident,55279
KE,,,Native,Extant,Resident,55279
BJ,,,Native,Extant,Resident,55279
ZW,,,Native,Extant,Resident,55279
ZM,,,Native,Extant,Resident,55279
BI,,,Native,Presence Uncertain,Resident,55279
LR,,,Native,Extant,Resident,55279
TD,,,Native,Extant,Resident,55279
ZA,,,Native,Extant,Resident,55279
TG,,,Native,Presence Uncertain,Resident,55279
BW,,,Native,Presence Uncertain,Resident,55279
SL,,,Native,Extant,Resident,55279
SN,,,Native,Extant,Resident,55279
UG,,,Native,Extant,Resident,55279
GW,,,Native,Extant,Resident,55279
CI,,,Native,Extant,Resident,55279
NG,,,Native,Extant,Resident,55279
CF,,,Native,Presence Uncertain,Resident,55279
RW,,,Native,Presence Uncertain,Resident,55279
CD,,,Native,Extant,Resident,55279
GN,,,Native,Extant,Resident,55279
SS,,,Native,Presence Uncertain,Resident,55279
NAM-OO,,,Native,Presence Uncertain,Resident,55279
CPV-OO,,,Native,Presence Uncertain,Resident,55279
NA,,,Native,Extant,Resident,55279
GM,,,Native,Presence Uncertain,Resident,55279
NE,,,Native,Presence Uncertain,Resident,55281
GH,,,Native,Extant,Resident,55281
AO,,,Native,Extant,Resident,55281
CM,,,Native,Extant,Resident,55281
NA,,,Native,Extant,Resident,55281
TZ,,,Native,Extant,Resident,55281
GM,,,Native,Extant,Resident,55281
GN,,,Native,Extant,Resident,55281
CD,,,Native,Extant,Resident,55281
ER,,,Native,Extant,Resident,55281
SD,,,Native,Extant,Resident,55281
KE,,,Native,Extant,Resident,55281
BJ,,,Native,Extant,Resident,55281
ZW,,,Native,Extant,Resident,55281
ZM,,,Native,Extant,Resident,55281
ML,,,Native,Presence Uncertain,Resident,55281
SZ,,,Native,Extant,Resident,55281
BI,,,Native,Presence Uncertain,Resident,55281
BF,,,Native,Extant,Resident,55281
TD,,,Native,Extant,Resident,55281
