Reference_type,access_date,alternate_title,author,date,edition,externalBibCode,internal_taxon_id,isbnissn,keywords,number,number_of_volumes,pages,place_published,publisher,secondary_author,secondary_title,section,short_title,submission_type,title,type,url,volume,year
Assessment,,,"Lambiris, A.J.L.",,,,45550871,,,,,1-210,,,,Lammergeyer,,,Published,A review of the amphibians of Natal,journal article,,39,1989
Assessment,,,"Channing, A. and Howell, K.M.",,,,45550871,,,,,,Frankfurt am Main,Edition Chimaira,,,,,,Amphibians of East Africa,Book,,,2006
Assessment,,,"Harper, E. and Vonesh, J.R.",,,,45550871,,,,,,,http://www.zoo.ufl.edu/voneshjr/Harper%20&%20Vonesh%20-%20Amphibian%20Guide.pdf,,,,,,Field Guide to the Amphibians of the East Usambara Mountains. Preliminary Draft,Book,,,2003
Assessment,,,"Channing, A.",,,,45550871,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Stewart, M.M.",,,,45550871,,,,,,Albany,State University of New York Press,,,,,,Amphibians of Malawi,Book,,,1967
Assessment,,"","Poynton, J.C. and Broadley, D.G.","","",,45550871,"","","","",503-553,"","","",Annals of the Natal Museum,"","",Published,"Amphibia Zambesiaca. 1. Scolecomorphidae, Pipidae, Microhylidae, Hemisidae, Arthroleptidae",journal article,"",26,1985
Assessment,,"","Broadley, D.G.","","",,45550871,"","","","",1-143,"","","",Puku,"","",Published,The reptiles and amphibians of Zambia,journal article,"",6,1971
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,45550871,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,"","Lötters, S., Rotich, D., Koester, T.E., Kosuch, J., Muchai, V., Scheelke, K., Schick, S., Teege, P., Wasonga, V.D. and Veith, M.","","",,45550871,"","",2/3,"",165-179,"","","",Salamandra,"","",Published,What do we know about the amphibians from the Kenyan central and western highlands? A faunistic and taxonomic review,journal article,"",42,2006
Assessment,,"","Poynton, J.C.","","",,45550871,"","","","",117-126,"","","",Systematics and Biodiversity,"","",Published,Altitudinal species turnover in southern Tanzania shown by anurans: some zoogeographical considerations,journal article,"",1,2003
Assessment,,"","Ruas, C.","","",,45550871,"","","","",19-41,"","","",Garcia de Orta. Ser. Zool. (Lisboa),"","",Published,Contribuicao para o conhecimento da fauna de batraquios de Angola,journal article,"",21,1996
Assessment,,"","Drewes, R.C. and Vindum, J.V.","","",,45550871,"","","","",55-70,"","","",Journal of African Zoology,"","",Published,"Amphibians of the Impenetrable Forest, Southwest Uganda",journal article,"",108,1994
Assessment,,"","Pickersgill, M.","","",,45550871,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Lambiris, A.J.L.",,,,54393,,,,,1-210,,,,Lammergeyer,,,Published,A review of the amphibians of Natal,journal article,,39,1989
Assessment,,,"Channing, A.",,,,54393,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Poynton, J.C.",,,,54393,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,,"Wager, V.A.",,,,54393,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,"","Pickersgill, M.","","",,54393,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Channing, A.",,,,54573,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Tandy, M. and Keith, R.",,,,54573,,,,,119-170,"Austin, Texas",University of Texas Press,"Blair, W.F.",Evolution in the genus <i>Bufo</i>,,,,African <i>Bufo</i>,Book Section,,,1972
Assessment,,,"Poynton, J.C.",,,,54573,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,54573,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Branch, W.R.",,,,54573,,,37,,17-44,,,,Journal of Herpetological Association of Africa,,,,"The herpetofauna of the Cape Province, South Africa: new distribution records and zoogeography",Journal Article,,,1990
Assessment,,,"De Villiers, C.G.S.",,,,54573,,,13,,123-141,,,,Annals of the Transvaal Museum,,,,"Some observations on the breeding habits of the Anura of the Stellenbosch Flats, in particular of <i>Cacosternum capense</i> and <i>Bufo angusticeps</i>",Journal Article,,,1929
Assessment,,,"Channing, A.",,,,54636,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,"","Lambiris, A.J.L.","","",,54636,"","","","",1-247,"","","","Mus. Reg. Sci. Nat. Torino, Monografia","","",Published,The frogs of Zimbabwe,journal article,"",10,1989
Assessment,,,"Tandy, M. and Keith, R.",,,,54636,,,,,119-170,"Austin, Texas",University of Texas Press,"Blair, W.F.",Evolution in the genus <i>Bufo</i>,,,,African <i>Bufo</i>,Book Section,,,1972
Assessment,,,"Poynton, J.C. and Broadley, D.G.",,,,54636,,,29,,447-490,,,,Annals of the Natal Museum,,,,Amphibia Zambesiaca. 4. Bufonidae,Journal Article,,,1988
Assessment,,"","Broadley, D.G.","","",,54636,"","","","",1-143,"","","",Puku,"","",Published,The reptiles and amphibians of Zambia,journal article,"",6,1971
Assessment,,,"Poynton, J.C.",,,,54636,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
