Research.ResearchSubfield.ResearchLookup,Research.ResearchSubfield.ResearchName,Research.ResearchSubfield.note,internal_taxon_id
1.1,,"",45550871
1.1,,"",55279
1.2,,"",55279
1.3,,"",55279
1.5,,"",55279
1.1,,"",55281
1.2,,"",55281
1.3,,"",55281
1.5,,"",55281
3.1,,,56236
1.3,,,56236
1.1,,,56236
1.2,,,56236
3.1,,,58076
1.3,,,58076
1.5,,,58076
1.2,,,58076
1.1,,"",58124
3.1,,,58516
1.3,,,58516
1.2,,,58516
1.5,,"",58768
1.1,,"",21136111
3.1,,,10644
3.4,,,10644
1.3,,,10644
1.5,,,10644
1.2,,,10644
3.1,,,11700
1.3,,,11700
1.5,,,11700
1.2,,,11700
3.1,,,1301
1.3,,,1301
1.5,,,1301
1.6,,,1301
1.2,,,1301
3.1,,,13318
1.1,,,13318
1.2,,,13318
3.1,,,174664
1.3,,,174664
1.5,,,174664
3.1,,,23124
1.3,,,23124
1.5,,,23124
1.2,,,23124
1.5,,,3069
1.2,,,3069
3.1,,,3070
1.3,,,3070
1.5,,,3070
1.6,,,3070
1.2,,,3070
1.3,,,3176
1.5,,,3176
1.2,,,3176
1.3,,,3441
1.5,,,3441
1.1,,,3442
1.3,,,3776
1.5,,,3776
1.1,,,3776
1.2,,,3776
1.3,,,54359
1.5,,,54359
1.2,,,54359
3.1,,,54723
2.1,,,54723
1.5,,,54723
2.2,,,54723
1.2,,,54723
1.3,,,55280
1.5,,,55280
1.2,,,55280
3.1,,,56078
1.3,,,56078
1.1,,,56078
3.1,,,56065
1.3,,,56065
1.5,,,56065
1.1,,,56065
1.2,,,56065
3.1,,,57713
3.4,,,57713
1.3,,,57713
1.5,,,57713
1.2,,,57713
1.3,,,57721
1.5,,,57721
1.1,,,57721
1.2,,,57721
3.1,,,58058
3.4,,,58058
1.3,,,58058
1.2,,,58058
3.1,,,58060
1.5,,,58060
1.1,,,58060
1.2,,,58060
3.1,,,58061
1.2,,,58061
3.1,,,58062
3.4,,,58062
1.3,,,58062
1.5,,,58062
3.1,,,58174
1.3,,,58174
1.1,,,58174
1.2,,,58174
3.1,,,58184
1.3,,,58184
1.5,,,58184
1.1,,,58184
1.2,,,58184
1.1,,,58153
3.1,,,61860
1.3,,,61860
1.5,,,61860
1.2,,,61860
3.1,,,9772
1.5,,,9772
1.1,,,9772
1.2,,,9772
3.1,,,9773
1.3,,,9773
1.5,,,9773
2.2,,,9773
1.2,,,9773
1.2,,"",58190
1.1,,"",58190
3.1,,"",58190
1.1,,"",76317565
1.5,,"",56108
1.3,,"",56108
1.2,,"",56108
1.1,,"",56108
1.5,,"",136026
1.3,,"",136026
1.2,,"",136026
1.1,,"",136026
1.5,,,54700
1.3,,,54700
1.2,,,54700
3.1,,,54700
