infraType,infrarankAuthor,infrarankName,internal_taxon_id,name,speciesAuthor,speciesName
,,,3176,"Bufo amatolicus Hewitt, 1925","Hewitt, 1925",amatolicus
,,,3776,"<i>Bufo rosei</i> Hewitt, 1926","Hewitt, 1926",rosei</i>
,,,54359,"Rana umbraculata Bush, 1952","Bush, 1952",umbraculata
,,,54359,"Amietia umbraculata Bush, 1952","Bush, 1952",umbraculata
,,,54573,"Bufo angusticeps Smith, 1848","Smith, 1848",angusticeps
,,,54636,"Bufo fenoulheti Hewitt and Methuen, 1912","Hewitt and Methuen, 1912",fenoulheti
,,,54648,"Bufo gariepensis Smith, 1848","Smith, 1848",gariepensis
,,,54649,"Bufo garmani Meek, 1897","Meek, 1897",garmani
,,,54659,"Bufo gutturalis Power, 1927","Power, 1927",gutturalis
,,,54700,"Bufo maculatus Hallowell, 1855","Hallowell, 1855",maculatus
,,,54723,"Bufo pantherinus Smith, 1828","Smith, 1828",pantherinus
,,,54724,"Bufo pardalis Hewitt, 1935","Hewitt, 1935",pardalis
,,,54736,"Bufo poweri Hewitt, 1935","Hewitt, 1935",poweri
,,,54745,"Bufo rangeri Hewitt, 1935","Hewitt, 1935",rangeri
,,,54748,"Bufo robinsoni Branch and Braack, 1996","Branch and Braack, 1996",robinsoni
,,,54793,"Bufo vertebralis Smith, 1842","Smith, 1842",vertebralis
,,,55273,"Heleophryne natalensis Hewitt, 1913","Hewitt, 1913",natalensis
,,,55281,"Hemisus sudanensis (Steindachner, 1863)","(Steindachner, 1863)",sudanensis
,,,55281,"Engystoma marmoratum Peters, 1854","Peters, 1854",marmoratum
,,,55281,"Engystoma marmoratum Peters, 1854","Peters, 1854",marmoratum
,,,56065,"Afrixalus brachycnemis knysnae Poynton, 1964","Poynton, 1964",brachycnemis knysnae
,,,56065,"Hyperolius knysnae Loveridge, 1954","Loveridge, 1954",knysnae
,,,56078,<i>Megalixalus spinifrons</i> Ahl 1930,Ahl 1930,spinifrons</i>
,,,56078,<i>Megalixalus fornasinii spinifrons</i> Power 1935,Power 1935,fornasinii spinifrons</i>
,,,56078,"<i>Hyperolius spinifrons</i> Cope, 1862","Cope, 1862",spinifrons</i>
,,,56236,"Cystignathus senegalensis Dum??ril & Bibron, 1841","Dum??ril & Bibron, 1841",senegalensis
,,,56236,"Kassina argyreivittis (Peters, 1854)","(Peters, 1854)",argyreivittis
,,,56236,"Kassina  senegalensis (Dum??ril & Bibron, 1841)","(Dum??ril & Bibron, 1841)",senegalensis
,,,56236,"Cassina  senegalensis (Dum??ril & Bibron, 1841)","(Dum??ril & Bibron, 1841)",senegalensis
,,,56236,"Cassina  argyreivittis (Peters, 1854)","(Peters, 1854)",argyreivittis
,,,56236,"Kassina  deserticola  Ahl, 1930","Ahl, 1930",deserticola 
,,,56236,"Kassina  modesta  Ahl, 1930","Ahl, 1930",modesta 
,,,56236,"Cassina  angeli  De Witte, 1933","De Witte, 1933",angeli 
,,,56236,"Kassina  benueana  Monard, 1951","Monard, 1951",benueana 
,,,56236,"Kassina  argyreivittis (Peters, 1854)","(Peters, 1854)",argyreivittis
,,,56236,"Hylambates  senegalensis (Dum??ril & Bibron, 1841)","(Dum??ril & Bibron, 1841)",senegalensis
,,,57722,"Breviceps maculatus FitzSimons, 1947","FitzSimons, 1947",maculatus
,,,58059,"Arthroleptella hewitti FitzSimons, 1947","FitzSimons, 1947",hewitti
,,,58062,"Arthroleptella ngongoniensis Bishop & Passmore, 1993","Bishop & Passmore, 1993",ngongoniensis
,,,58066,"Arthroleptis  boettgeri  Boulenger, 1882","Boulenger, 1882",boettgeri 
,,,58066,"Arthroleptis schebeni   Nieden, 1914"," Nieden, 1914",schebeni 
subspecies,,parvum,58071,"Cacosternum nanum Poynton, 1963 ssp. parvum","Poynton, 1963",nanum
,,,58128,"Phrynobatrachus zavattarii (Scortecci, 1943)","(Scortecci, 1943)",zavattarii
,,,58128,"Phrynobatrachus bottegi (Boulenger, 1894)","(Boulenger, 1894)",bottegi
,,,58128,"Phrynobatrachus sciangallarum (Scortecci, 1943)","(Scortecci, 1943)",sciangallarum
,,,58174,"Bufo laevis Daudin, 1802","Daudin, 1802",laevis
,,,58174,"Pipa  laevis (Daudin, 1802)","(Daudin, 1802)",laevis
,,,58174,"Pipa  bufonia  Merrem, 1820"," Merrem, 1820",bufonia
,,,58174,"Engystoma  laevis (Daudin, 1802)","(Daudin, 1802)",laevis
,,,58174,"Xenopus  boiei  Wagler, 1827","Wagler, 1827",boiei 
,,,58174,"Dactylethra  bufonia (Merrem, 1820)","(Merrem, 1820)",bufonia
,,,58174,"Dactylethra  laevis (Daudin, 1802)","(Daudin, 1802)",laevis
,,,58174,"Dactylethra  capensis  Cuvier, 1830","Cuvier, 1830",capensis 
,,,58174,"Tremeropugus  typicus  Smith, 1831"," Smith, 1831",typicus
,,,58174,"Leptopus  oxydactylus  Mayer, 1835","Mayer, 1835",oxydactylus 
,,,58174,"Leptopus  boiei (Wagler, 1827)","(Wagler, 1827)",boiei
,,,58174,"Pipa  africana  Mayer, 1835","Mayer, 1835",africana 
,,,58174,"Dactylethera  boiei (Wagler, 1827)","(Wagler, 1827)",boiei
,,,58174,"Dactylethra  delalandii  Cuvier, 1849","Cuvier, 1849",delalandii 
subspecies,"Loveridge, 1932",bunyoniensis ,58174,"Xenopus  laevis  ssp. bunyoniensis  Loveridge, 1932",,laevis 
subspecies,"Perret, 1966",sudanensis ,58174,"Xenopus  laevis  ssp. sudanensis  Perret, 1966",,laevis 
,,,58184,"Rana  angolensis  Bocage, 1866","Bocage, 1866",angolensis 
