Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,kingdom,ordername,phylum,species,taxonomicAuthority
596,,AMPHIBIA,HYPEROLIIDAE,Afrixalus,,,,596,ANIMALIA,ANURA,CHORDATA,aureus,"Pickersgill, 1984"
1301,,AMPHIBIA,PYXICEPHALIDAE,Anhydrophryne,,,,1301,ANIMALIA,ANURA,CHORDATA,rattrayi,"Hewitt, 1919"
3069,"This species, originally named <em>Rana gibbosa</em>, was the first African frog species to be entered into the Linnean system of nomenclature in 1758.",AMPHIBIA,BREVICIPITIDAE,Breviceps,,,,3069,ANIMALIA,ANURA,CHORDATA,gibbosus,"(Linnaeus, 1758)"
3070,,AMPHIBIA,BREVICIPITIDAE,Breviceps,,,,3070,ANIMALIA,ANURA,CHORDATA,macrops,"Boulenger, 1907"
3176,,AMPHIBIA,BUFONIDAE,Vandijkophrynus,,,,3176,ANIMALIA,ANURA,CHORDATA,amatolicus,"(Hewitt, 1925)"
3441,,AMPHIBIA,PYXICEPHALIDAE,Cacosternum,,,,3441,ANIMALIA,ANURA,CHORDATA,capense,"Hewitt, 1925"
3442,This species is apparently an aberrant melanistic colour form of <i>Cacosternum nanum</i> (Scott in press).,AMPHIBIA,PYXICEPHALIDAE,Cacosternum,,,,3442,ANIMALIA,ANURA,CHORDATA,poyntoni,"Lambiris, 1988"
3776,"Phylogenetic analysis of this genus showed the presence of multiple lineages in what had originally been attributed to two species (<em>Capensibufo rosei</em> and <em>C. tradouwi</em>). Within <em>C. rosei</em>, at least 5 distinct lineages are present, such that <em>Capensibufo rosei</em> on the Cape Peninsula is now recognised as the only member of this taxon, with others being <em>Capensibufo xx</em> and<em> xx </em>(Tolley <em>et al</em>. 2010, Cressey<em> et al</em>. 2013, Channing <em>et al.</em> 20xx).",AMPHIBIA,BUFONIDAE,Capensibufo,,,,3776,ANIMALIA,ANURA,CHORDATA,rosei,"(Hewitt, 1926)"
9772,The taxonomy of this genus is in need of revision.,AMPHIBIA,HELEOPHRYNIDAE,Heleophryne,,,,9772,ANIMALIA,ANURA,CHORDATA,hewitti,"Boycott, 1988"
9773,,AMPHIBIA,HELEOPHRYNIDAE,Heleophryne,,,,9773,ANIMALIA,ANURA,CHORDATA,rosei,"Hewitt, 1925"
10644,,AMPHIBIA,HYPEROLIIDAE,Hyperolius,,,,10644,ANIMALIA,ANURA,CHORDATA,pickersgilli,"Raw, 1982"
11700,The relationships between this and other species without toe discs requires a detailed taxonomic study using molecular and morphological methodologies.,AMPHIBIA,ARTHROLEPTIDAE,Leptopelis,,,,11700,ANIMALIA,ANURA,CHORDATA,xenodactylus,"Poynton, 1963"
13318,A question hangs over the taxonomic significance of disjunct populations of this species.,AMPHIBIA,PYXICEPHALIDAE,Microbatrachella,,,,13318,ANIMALIA,ANURA,CHORDATA,capensis,"(Boulenger, 1910)"
23124,A deep genetic split characterises the disjunct distribution of this species.,AMPHIBIA,PIPIDAE,Xenopus,,,,23124,ANIMALIA,ANURA,CHORDATA,gilli,"Rose &amp; Hewitt, 1927"
54359,"This species has a confusing taxonomic history which has been reviewed several times (Tarrant <em>et al</em>. 2008, Channing 2015). Most recently known as <em>Amietia umbraculata</em>, Channing (2015) reverted the name to <em>A. vertebralis</em> based on examination of type specimens and Zoological Nomenclature rules.",AMPHIBIA,PYXICEPHALIDAE,Amietia,,,,54359,ANIMALIA,ANURA,CHORDATA,vertebralis,"(Hewitt, 1927)"
54393,,AMPHIBIA,ARTHROLEPTIDAE,Arthroleptis,,,,54393,ANIMALIA,ANURA,CHORDATA,wahlbergii,"Smith, 1849"
54573,,AMPHIBIA,BUFONIDAE,Vandijkophrynus,,,,54573,ANIMALIA,ANURA,CHORDATA,angusticeps,"(Smith, 1848)"
54636,,AMPHIBIA,BUFONIDAE,Poyntonophrynus,,,,54636,ANIMALIA,ANURA,CHORDATA,fenoulheti,"(Hewitt &amp; Methuen, 1912)"
54648,Some isolated populations in the north of its range could be separate taxa.,AMPHIBIA,BUFONIDAE,Vandijkophrynus,,,,54648,ANIMALIA,ANURA,CHORDATA,gariepensis,"(Smith, 1848)"
54649,"There is confusion regarding the taxonomy of this species and <em>Amietophrynus poweri</em> (M. Largen, J. Poynton, L. Mazibuko and M. Tandy pers. comm.). It is possible that the true <em>Amietophrynus garmani</em> is restricted to northeastern Africa, with animals from further south belonging to another species (Largen 2001). In this account, we follow the traditional understanding of the species' distribution and taxonomy, pending further information.",AMPHIBIA,BUFONIDAE,Amietophrynus,,,,54649,ANIMALIA,ANURA,CHORDATA,garmani,"(Meek, 1897)"
54659,,AMPHIBIA,BUFONIDAE,Amietophrynus,,,,54659,ANIMALIA,ANURA,CHORDATA,gutturalis,"(Power, 1927)"
54700,,AMPHIBIA,BUFONIDAE,Amietophrynus,,,,54700,ANIMALIA,ANURA,CHORDATA,maculatus,"(Hallowell, 1854)"
