Threats.ThreatsSubfield.StressesSubfield.stress,Threats.ThreatsSubfield.StressesSubfield.stressdesc,Threats.ThreatsSubfield.ThreatsLookup,Threats.ThreatsSubfield.ThreatsName,Threats.ThreatsSubfield.ancestry,Threats.ThreatsSubfield.ias,Threats.ThreatsSubfield.internationalTrade,Threats.ThreatsSubfield.scope,Threats.ThreatsSubfield.severity,Threats.ThreatsSubfield.text,Threats.ThreatsSubfield.timing,Threats.ThreatsSubfield.virus,internal_taxon_id
1.1|1.2,,2.1.3,,,,,,,,Ongoing,,54393
1.1|1.2,,1.1,,,,,,,,Ongoing,,54393
1.1|1.2,,1.2,,,,,Unknown,Unknown,,Ongoing,,54393
1.1|1.2,,1.3,,,,,Unknown,Unknown,,Ongoing,,54393
1.1|1.2,,2.1.3,,,,,,,,Ongoing,,54573
1.1|1.2,,1.2,,,,,,,,Ongoing,,54573
1.2,,8.1.1,,,,,,,,Ongoing,,54573
1.1|1.2,,1.1,,,,,,,,Ongoing,,54573
1.1|1.2,,7.2.8,,,,,,,,Ongoing,,54573
1.2|1.1,,2.3.1,,,,,,,,Ongoing,,54649
1.2|1.1,,2.1.1,,,,,,,,Ongoing,,54649
1.2|1.1,,2.3.2,,,,,,,,Ongoing,,54649
1.2,,5.3.5,,,,,,,,Ongoing,,54649
1.2|1.1,,2.1.2,,,,,,,,Ongoing,,54649
1.2|1.1,,1.1,,,,,,,,Ongoing,,54649
1.2|1.1,,2.1.2,,,,,,,,Ongoing,,54724
1.2|1.1,,1.1,,,,,,,,Ongoing,,54724
1.2,,11.1,,,,,,,,Ongoing,,54745
2.3.1,,8.2,,,,,,,,Ongoing,,54745
1.1|1.2,,7.2.7,,,,,,,,Future,,54748
1.2|1.1,,2.1.3,,,,,,,,Ongoing,,54793
1.2,,7.1.3,,,,,,,,Ongoing,,54801
1.2,,8.1.1,,,,,,,,Ongoing,,54801
1.2|1.1,,1.1,,,,,,,,Future,,54801
1.1|1.2,,2.2.2,,,,,,,,Ongoing,,55273
1.2,,9.3.2,,,,,,,,Ongoing,,55273
1.1|1.2,,7.2.11,,,,,,,,Ongoing,,55273
1.2,,7.2.8,,,,,,,,Ongoing,,55273
2.1,,8.1.2,,,Unspecified SALMONIDAE,,,,,Ongoing,,55273
1.2|1.1,,2.2.2,,,,,,,,Ongoing,,55274
1.2,,7.1.3,,,,,,,,Ongoing,,55274
1.2,,8.1.1,,,,,,,,Ongoing,,55274
1.2|1.1,,2.2.2,,,,,,,,Ongoing,,55275
1.2,,7.1.3,,,,,,,,Ongoing,,55275
1.2,,8.1.1,,,,,,,,Ongoing,,55275
1.2|1.1,,2.2.2,,,,,,,,Ongoing,,55276
