UTEndUse.UTEndUseSubfield.UTEndUseLookup,UTEndUse.UTEndUseSubfield.UTEndUseName,UTEndUse.UTEndUseSubfield.international,UTEndUse.UTEndUseSubfield.national,UTEndUse.UTEndUseSubfield.other,UTEndUse.UTEndUseSubfield.subsistence,internal_taxon_id
1,,false,false,,false,55281
13,,true,false,,false,55281
13,,true,false,,false,56063
13,,true,false,,false,56112
13,,true,false,,false,56163
13,,true,false,,false,56231
13,,true,false,,false,56236
16,,false,false,,false,57951
13,,true,false,,false,57951
1,,false,false,,true,58177
13,,true,false,,false,58296
13,,true,false,,false,58535
1,,false,false,,true,58535
13,,true,false,,false,58801
16,,false,false,,false,58174
1,,false,false,,true,58174
14,,true,false,,false,58174
1,,false,true,,true,76317565
13,,true,false,,false,76317591
1,,false,false,,true,76317591
