ConservationActions.ConservationActionsSubfield.ConservationActionsLookup,ConservationActions.ConservationActionsSubfield.ConservationActionsName,ConservationActions.ConservationActionsSubfield.note,internal_taxon_id
2.1,,,13257
2.3,,,13257
2.3,,,15543
2.3,,,15543
2.1,,,22816
3.3.2,,,42840
2.1,,,42840
2.3,,,42840
3.3.2,,,42843
2.1,,,42843
2.3,,,42843
2.1,,,42845
2.3,,,42845
2.1,,,4731
2.3,,,4731
1.2,,,4731
100.8,,"Migration note:
Reallocate within category 4-Education & awareness",59793
2.1,,None,59793
2.1,,None,59797
2.1,,,59797
2.1,,None,59866
2.1,,,59866
2.1,,,59800
2.3,,,59800
1.1,,,59800
100.18,,"Migration note:
Reallocation to Research Classification Scheme within category 1-Research",59871
2.1,,None,59871
2.1,,,59871
2.1,,None,59805
2.1,,,59805
2.1,,None,59809
2.1,,,59809
2.1,,None,59814
2.1,,None,59893
2.1,,,59893
2.1,,None,59821
2.1,,,59821
2.1,,None,59833
2.1,,,59833
2.1,,None,59835
2.1,,,59835
2.1,,None,59845
2.1,,,59845
2.1,,,59854
2.3,,,59854
1.1,,,59854
2.1,,None,59854
2.3,,None,59854
1.1,,None,59854
2.1,,None,59856
2.1,,,59856
2.1,,None,59876
2.3,,None,59876
2.1,,,59876
2.3,,,59876
4.3,,,59879
2.1,,,59879
2.3,,,59879
4.3,,,59879
2.1,,,59879
2.3,,,59879
2.1,,None,59881
2.3,,None,59881
2.1,,,59881
2.3,,,59881
2.1,,None,59904
2.1,,,59904
2.1,,None,59905
2.1,,,59905
2.1,,None,59906
2.1,,,59906
2.1,,None,59907
2.3,,None,59907
2.1,,,59907
2.3,,,59907
2.1,,None,59908
2.1,,,59908
2.1,,None,59995
2.1,,,59995
5.1.3,,,59997
5.1.2,,,59997
5.1.1,,,59997
5.4.3,,,59997
5.4.2,,,59997
4.3,,,59997
100.3,,"Reallocate to Research Classification Scheme at 2.1, 2.2, or 2.3",59997
5.4.1,,,59997
2.1,,,59997
2.3,,,59997
100.4,,Reallocate within category 3.1-Species management or category 2.1-Site/area management,59997
1.1,,,59997
2.1,,,59925
1.1,,None,59925
2.1,,None,59926
2.3,,None,59926
2.1,,,59926
2.3,,,59926
2.1,,None,59962
2.1,,,59974
2.1,,None,59978
2.3,,None,59978
2.1,,,59978
2.3,,,59978
2.1,,None,60079
2.3,,None,60079
2.1,,,60079
2.3,,,60079
1.1,,,60013
2.1,,,60044
2.1,,,60044
1.1,,,60051
100.10,,Reallocate within category 1-Land/water protection or category 2-Land/water management,60051
2.1,,,60056
2.3,,,60056
2.1,,None,60065
2.3,,None,60065
2.1,,,60065
2.3,,,60065
2.1,,,63178
2.1,,None,63178
2.1,,,63191
2.3,,,63191
2.1,,None,63191
2.3,,None,63191
4.3,,,63193
2.1,,,63193
4.3,,None,63193
100.2,,"Migration note:
Reallocate within category 3.1-Species management or category 2.1-Site/area management or allocate to Research Classification Scheme at 2.1, 2.2, or 2.3",63193
2.1,,None,63193
2.1,,,63202
2.1,,,63214
2.1,,,63216
2.3,,,63216
2.1,,,63219
2.3,,,63219
2.1,,,6973
2.3,,,6973
2.1,,,6975
2.3,,,6975
2.1,,"",59860
1.2,,"",59965
1.1,,"",59965
1.2,,"",59976
5.1.3,,"",59976
4.3,,"",59976
1.1,,"",59976
1.2,,"",60019
5.1.3,,"",60019
5.1.2,,"",60019
5.1.1,,"",60019
4.3,,"",60019
1.1,,"",60019
1.2,,"",60058
1.1,,"",60058
