CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceLookup,CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceName,CountryOccurrence.CountryOccurrenceSubfield.formerlyBred,CountryOccurrence.CountryOccurrenceSubfield.origin,CountryOccurrence.CountryOccurrenceSubfield.presence,CountryOccurrence.CountryOccurrenceSubfield.seasonality,internal_taxon_id
CPP-WC,,,Native,Extant,Resident,13257
ZA,,,Native,Extant,Resident,13257
CPP-WC,,,Native,Extant,Resident,15543
ZA,,,Native,Extant,Resident,15543
CPP-WC,,Yes,Native,Possibly Extinct,Resident,15543
ZA,,Yes,Native,Possibly Extinct,Resident,15543
GH,,,Native,Extant,,158578
KE,,,Native,Extant,,158578
CM,,,Native,Extant,,158578
AO,,,Native,Extant,,158578
NA,,,Native,Extant,,158578
TZ,,,Native,Extant,,158578
GM,,,Native,Extant,,158578
ZW,,,Native,Extant,,158578
ZM,,,Native,Extant,,158578
ML,,,Native,Extant,,158578
SD,,,Native,Extant,,158578
BW,,,Native,Extant,,158578
ZA,,,Native,Extant,,158578
MW,,,Native,Extant,,158578
MZ,,,Native,Extant,,158578
SN,,,Native,Extant,,158578
SO,,,Native,Extant,,158578
LR,,,Native,Extant,,158578
UG,,,Native,Extant,,158578
CI,,,Native,Extant,,158578
CG,,,Native,Extant,,158578
SZ,,,Native,Presence Uncertain,,158578
GQ,,,Native,Extant,,158578
GH,,,Native,Extant,Resident,158578
AO,,,Native,Extant,Resident,158578
CM,,,Native,Extant,Resident,158578
TZ,,,Native,Extant,Resident,158578
NA,,,Native,Extant,Resident,158578
GM,,,Native,Extant,Resident,158578
MZ,,,Native,Extant,Resident,158578
MW,,,Native,Extant,Resident,158578
KE,,,Native,Presence Uncertain,,158578
BJ,,,Native,Extant,Resident,158578
ZW,,,Native,Extant,Resident,158578
ZM,,,Native,Extant,Resident,158578
SZ,,,Native,Presence Uncertain,,158578
ML,,,Native,Extant,Resident,158578
LR,,,Native,Extant,Resident,158578
ZA,,,Native,Extant,Resident,158578
BW,,,Native,Extant,Resident,158578
TG,,,Native,Extant,Resident,158578
SL,,,Native,Extant,Resident,158578
SN,,,Native,Extant,Resident,158578
SO,,,Native,Extant,Resident,158578
GW,,,Native,Extant,Resident,158578
UG,,,Native,Extant,Resident,158578
CI,,,Native,Extant,Resident,158578
NG,,,Native,Extant,Resident,158578
CG,,,Native,Extant,Resident,158578
ET,,,Native,Presence Uncertain,,158578
GQ,,,Native,Extant,Resident,158578
CD,,,Native,Extant,Resident,158578
GN,,,Native,Extant,Resident,158578
SS,,,Native,Presence Uncertain,,158578
UG,,,Native,Extant,Resident,168007
KE,,,Native,Extant,Resident,168007
TZ,,,Native,Extant,Resident,168007
CD,,,Native,Presence Uncertain,,168007
MZ,,,Native,Extant,Resident,168007
MW,,,Native,Extant,Resident,168007
ZA,,,Native,Extant,Resident,168007
KE,,,Native,Presence Uncertain,,168013
TZ,,,Native,Extant,Resident,168013
ZW,,,Native,Extant,Resident,168013
CD,,,Native,Extant,Resident,168013
ZM,,,Native,Extant,Resident,168013
MZ,,,Native,Extant,Resident,168013
ZA,,,Native,Extant,Resident,168013
CPP-WC,,,Native,Extant,Resident,168022
OFS-OO,,,Native,Extant,Resident,168022
ZA,,,Native,Extant,Resident,168022
TVL-GA,,,Native,Extant,Resident,168022
CPP-NC,,,Native,Extant,Resident,168022
SO,,,Native,Extant,Resident,184261
SL,,,Native,Extant,Resident,184261
MZ,,,Native,Extant,Resident,184261
MW,,,Native,Extant,,184261
KE,,,Native,Extant,,184261
BJ,,,Native,Extant,Resident,184261
ZW,,,Native,Extant,Resident,184261
ZM,,,Native,Extant,Resident,184261
LR,,,Native,Extant,Resident,184261
