assessment_id,credit_type,internal_taxon_id,text
3431878,Assessor,13257,"Samways, M.J."
4779963,Assessor,15543,"Samways, M.J."
5224732,Assessor,158578,"Suhling, F. & Clausnitzer, V."
5224980,Assessor,158578,"Clausnitzer, V., Dijkstra, K.-D.B. & Suhling, F."
6438588,Assessor,168007,"Clausnitzer, V. & Suhling, F."
6447608,Assessor,168022,"Suhling, F."
8257239,Assessor,184261,"Clausnitzer, V."
8257444,Assessor,184261,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
9389698,Assessor,22816,"Suhling, F. & Samways, M.J."
10757962,Assessor,42840,"Samways, M.J."
10758888,Assessor,42843,"Samways, M.J."
10759240,Assessor,42845,"Samways, M.J."
11090775,Assessor,4730,"Samways, M.J."
11091140,Assessor,4731,"Samways, M.J."
11984141,Assessor,59781,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
12004901,Assessor,59797,"Clausnitzer, V. & Suhling, F."
12013523,Assessor,59755,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
12018243,Assessor,59866,"Clausnitzer, V. & Suhling, F."
12018834,Assessor,59800,"Clausnitzer, V., Boudot, J.-P., Dijkstra, K.-D.B. & Suhling, F."
12019477,Assessor,59800,"Suhling, F. & Clausnitzer, V."
12021693,Assessor,59801,"Clausnitzer, V. & Dijkstra, K.-D.B."
12022106,Assessor,59801,"Suhling, F."
12027369,Assessor,59871,"Clausnitzer, V. & Suhling, F."
12029647,Assessor,59805,"Clausnitzer, V. & Suhling, F."
12037082,Assessor,59809,"Clausnitzer, V. & Suhling, F."
12054029,Assessor,59893,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
12055809,Assessor,59894,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
12065152,Assessor,59821,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
12066571,Assessor,59899,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
12068327,Assessor,59822,"Suhling, F. & Clausnitzer, V."
12070987,Assessor,59824,"Clausnitzer, V. & Suhling, F."
12071408,Assessor,59824,"Suhling, F. & Clausnitzer, V."
12080599,Assessor,59833,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
12083424,Assessor,59835,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
12089545,Assessor,59845,"Clausnitzer, V. & Suhling, F."
12094486,Assessor,59854,"Suhling, F. & Samways, M.J. & V. Clausnitzer"
12095818,Assessor,59856,"Clausnitzer, V. & Suhling, F."
12097776,Assessor,59858,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
12111099,Assessor,59876,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
12114020,Assessor,59879,"Clausnitzer, V. & Suhling, F."
12114384,Assessor,59879,"Suhling, F. & Clausnitzer, V."
12116464,Assessor,59881,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
12119270,Assessor,59964,"Clausnitzer, V., Dijkstra, K.-D.B. & Suhling, F."
12119833,Assessor,59964,"Suhling, F. & Clausnitzer, V."
12121046,Assessor,59900,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
