GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsLookup,GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsName,GeneralHabitats.GeneralHabitatsSubfield.majorImportance,GeneralHabitats.GeneralHabitatsSubfield.season,GeneralHabitats.GeneralHabitatsSubfield.suitability,internal_taxon_id
5.7,,,,Suitable,13257
5.1,,,,Suitable,15543
5.1,,Yes,,Suitable,15543
5.5,,,,Suitable,158578
5.1,,,,Suitable,158578
5.5,,Yes,,Suitable,158578
5.1,,Yes,,Suitable,158578
2.1,,Yes,,Suitable,158578
2.2,,Yes,,Suitable,158578
5.5,,,,Unknown,168007
5.1,,,,Unknown,168007
1.6,,,,Suitable,168007
5.4,,,,Suitable,168013
2.2,,,,Suitable,168013
5.7,,,,Suitable,168022
5.1,,,,Suitable,168022
5.8,,,,Suitable,184261
5.7,,,,Suitable,184261
3.5,,,,Suitable,184261
5.3,,,,Suitable,184261
5.4,,,,Suitable,184261
3.6,,,,Suitable,184261
2.1,,,,Suitable,184261
2.2,,,,Suitable,184261
5.8,,,,Suitable,184261
5.7,,,,Suitable,184261
3.5,,,,Suitable,184261
5.3,,,,Suitable,184261
5.4,,,,Suitable,184261
3.6,,,,Suitable,184261
2.1,,,,Suitable,184261
2.2,,,,Suitable,184261
5.8,,,,Suitable,22816
5.7,,,,Suitable,22816
3.6,,,,Suitable,22816
5.1,,,,Suitable,42840
5.1,,,,Suitable,42843
5.1,,,,Suitable,42845
5.1,,,,Suitable,4730
5.1,,,,Suitable,4731
5.8,,,,Suitable,59781
5.7,,,,Suitable,59781
5.3,,,,Marginal,59781
5.4,,,,Suitable,59781
5.2,,,,Marginal,59781
5.1,,,,Marginal,59781
1.5,,,,Marginal,59781
2.1,,,,Marginal,59781
2.2,,,,Suitable,59781
5.8,,Yes,,Suitable,59781
5.7,,Yes,,Suitable,59781
5.3,,,,Marginal,59781
5.4,,Yes,,Suitable,59781
5.2,,,,Marginal,59781
5.1,,Yes,,Suitable,59781
1.5,,,,Marginal,59781
2.1,,,,Marginal,59781
2.2,,Yes,,Suitable,59781
5.8,,,,Suitable,59793
5.7,,,,Suitable,59793
3.5,,,,Suitable,59793
5.3,,,,Marginal,59793
5.4,,,,Suitable,59793
3.6,,,,Suitable,59793
5.2,,,,Suitable,59793
5.1,,,,Suitable,59793
1.6,,,,Marginal,59793
2.1,,,,Suitable,59793
2.2,,,,Suitable,59793
2.2,,,,Suitable,59797
2.1,,,,Suitable,59797
5.1,,,,Suitable,59797
5.2,,,,Suitable,59797
3.6,,,,Suitable,59797
5.4,,,,Unknown,59797
5.5,,,,Unknown,59797
3.5,,,,Suitable,59797
5.6,,,,Unknown,59797
5.7,,,,Suitable,59797
5.8,,,,Suitable,59797
1.6,,,,Suitable,59797
5.3,,,,Unknown,59797
2.2,,Yes,,Suitable,59797
2.1,,Yes,,Suitable,59797
5.1,,Yes,,Suitable,59797
5.2,,Yes,,Suitable,59797
3.6,,Yes,,Suitable,59797
5.4,,,,Unknown,59797
5.5,,,,Unknown,59797
3.5,,Yes,,Suitable,59797
5.6,,,,Unknown,59797
5.7,,Yes,,Suitable,59797
5.8,,Yes,,Suitable,59797
1.6,,,,Marginal,59797
5.3,,,,Unknown,59797
5.8,,,,Suitable,59755
5.7,,,,Suitable,59755
5.6,,,,Unknown,59755
5.5,,,,Unknown,59755
5.4,,,,Suitable,59755
5.8,,,,Suitable,59755
5.7,,,,Suitable,59755
5.6,,,,Unknown,59755
5.5,,,,Unknown,59755
5.4,,,,Suitable,59755
3.5,,,,Suitable,59866
3.6,,,,Suitable,59866
5.1,,,,Suitable,59866
1.6,,,,Suitable,59866
3.5,,,,Suitable,59866
3.6,,,,Suitable,59866
5.1,,,,Suitable,59866
1.6,,,,Suitable,59866
18,,,,Suitable,59800
3.5,,Yes,,Suitable,59800
5.4,,Yes,,Suitable,59800
3.6,,Yes,,Suitable,59800
5.2,,Yes,,Suitable,59800
5.1,,,,Marginal,59800
2.1,,Yes,,Suitable,59800
2.2,,Yes,,Suitable,59800
5.8,,,,Suitable,59800
5.7,,,,Suitable,59800
5.1,,,,Suitable,59800
5.9,,,,Marginal,59800
18,,,,Suitable,59801
5.4,,Yes,,Suitable,59801
2.1,,Yes,,Suitable,59801
2.2,,Yes,,Suitable,59801
18,,,,Suitable,59801
5.7,,,,Suitable,59801
5.4,,,,Suitable,59801
5.1,,,,Suitable,59801
3.5,,,,Suitable,59871
3.6,,,,Suitable,59871
5.1,,,,Suitable,59871
1.6,,,,Suitable,59871
3.5,,Yes,,Suitable,59871
1,,,,Suitable,59871
3.6,,Yes,,Suitable,59871
5.1,,Yes,,Suitable,59871
2.2,,Yes,,Suitable,59871
5.7,,,,Suitable,59805
5.6,,,,Suitable,59805
5.9,,,,Unknown,59805
5.7,,Yes,,Suitable,59805
5.6,,,,Marginal,59805
5.4,,Yes,,Suitable,59805
2.1,,Yes,,Suitable,59805
2.2,,Yes,,Suitable,59805
5.8,,,,Unknown,59809
5.7,,,,Unknown,59809
3.5,,,,Suitable,59809
5.3,,,,Unknown,59809
3.6,,,,Suitable,59809
5.2,,,,Suitable,59809
5.1,,,,Suitable,59809
1.5,,,,Marginal,59809
1.6,,,,Marginal,59809
5.8,,,,Unknown,59809
5.7,,,,Unknown,59809
3.5,,Yes,,Suitable,59809
5.3,,,,Unknown,59809
3.6,,Yes,,Suitable,59809
5.2,,,,Unknown,59809
5.1,,,,Unknown,59809
1.5,,,,Marginal,59809
1.6,,,,Marginal,59809
5.8,,,,Suitable,59814
5.7,,,,Suitable,59814
3.5,,,,Suitable,59814
5.6,,,,Suitable,59814
5.4,,,,Suitable,59814
3.6,,,,Suitable,59814
1.5,,,,Suitable,59814
1.6,,,,Suitable,59814
2.1,,,,Suitable,59814
2.2,,,,Suitable,59814
5.8,,,,Suitable,59893
5.7,,,,Suitable,59893
3.5,,,,Suitable,59893
5.3,,,,Suitable,59893
5.4,,,,Suitable,59893
3.6,,,,Suitable,59893
1.6,,,,Suitable,59893
5.8,,,,Suitable,59893
5.7,,,,Suitable,59893
3.5,,,,Suitable,59893
5.3,,,,Suitable,59893
5.4,,,,Suitable,59893
3.6,,,,Suitable,59893
1.6,,,,Suitable,59893
5.3,,,,Suitable,59894
2.2,,,,Suitable,59894
2.1,,,,Suitable,59894
5.1,,,,Suitable,59894
5.2,,,,Suitable,59894
3.6,,,,Suitable,59894
5.4,,,,Suitable,59894
5.5,,,,Suitable,59894
3.5,,,,Suitable,59894
5.6,,,,Suitable,59894
5.7,,,,Suitable,59894
5.8,,,,Suitable,59894
5.9,,,,Suitable,59894
1.6,,,,Suitable,59894
