Reference_type,access_date,alternate_title,author,date,edition,externalBibCode,internal_taxon_id,isbnissn,keywords,number,number_of_volumes,pages,place_published,publisher,secondary_author,secondary_title,section,short_title,submission_type,title,type,url,volume,year
Assessment,,,"Samways, M.J.",,,,13257,,,,,341-368,,,,Odonatologica,,,Published,National Red List of South African Odonata,journal article,,35,2006
Assessment,,,"Samways, M.J.",,,,13257,0960-3115 (Print) 1572-9710 (Online),,9,,2575-2586,,,,Biodiversity and Conservation,,,,Honing Red List assessments of lesser known taxa in biodiversity hotspots,Journal Article,10.1007/s10531-006-9023-z,16,2006
Assessment,,,"Samways, M.J.",,,,13257,,,,,255-262,,,,International Journal of Odonatology,,,,Critical species of Odonata in southern Africa,Journal Article,,7,2004
Assessment,,,"Samways, M.J. and Taylor, S.",,,,13257,,,,,78-80,,,,South African Journal of Science,,,,Impacts of invasive alien plants on red-listed South African dragonflies (Odonata),Journal Article,,100,2004
Assessment,,,"Samways, M.J. and Tarboton, W.",,,,13257,,,,,In press,,,,Odonatologica,,,,"Rediscovery of <i>Metacnemis angusta</i> (Selys, 1863) in the Western Cape, South Africa (Zygoptera: Matycnemididae)",Journal Article,,,2006
Assessment,,,"Samways, M.J., Taylor, S. and Tarboton, W.",,,,13257,,,,,1329-1330,,,,Conservation Biology,,,,Extinction reprieve following alien removal,Journal Article,,19,2005
Assessment,,,"Pinhey, E.",,,,13257,,,,,147-188,,,,Journal of the Entomological Society of southern Africa,,,,A survey to the dragonflies (Odonata) of South Africa. Part 1,Journal Article,,47,1984
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,13257,,,,,,Nylstroom,Privately published by the authors,,,,,Published,A fieldguide to the damselflies of South Africa,book,,,2005
Assessment,,,"Samways, M.J.",,,,13257,,,,,13-62,,,,Odonatologica,,,,Diversity and conservation status of South African dragonflies (Odonata),Journal Article,,28,1999
Assessment,,,"Samways, M.J.",,,,13257,,,,,43-52,,,,African Entomology,,,Published,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa,journal article,,10,2002
Assessment,,,"Samways, M.J.",,,,15543,,,,,341-368,,,,Odonatologica,,,Published,National Red List of South African Odonata,journal article,,35,2006
Assessment,,,"Samways, M.J.",,,,15543,0960-3115 (Print) 1572-9710 (Online),,9,,2575-2586,,,,Biodiversity and Conservation,,,,Honing Red List assessments of lesser known taxa in biodiversity hotspots,Journal Article,10.1007/s10531-006-9023-z,16,2006
Assessment,,,"Samways, M.J.",,,,15543,,,,,255-262,,,,International Journal of Odonatology,,,,Critical species of Odonata in southern Africa,Journal Article,,7,2004
Assessment,,,"Pinhey, E.",,,,15543,,,,,147-188,,,,Journal of the Entomological Society of southern Africa,,,,A survey to the dragonflies (Odonata) of South Africa. Part 1,Journal Article,,47,1984
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,15543,,,,,,Nylstroom,Privately published by the authors,,,,,,A fieldguide to the dragonflies of South Africa,Book,,,2002
Assessment,,,"Samways, M.J.",,,,15543,,,,,13-62,,,,Odonatologica,,,,Diversity and conservation status of South African dragonflies (Odonata),Journal Article,,28,1999
Assessment,,,"Samways, M.J.",,,,15543,,,,,43-52,,,,African Entomology,,,Published,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa,journal article,,10,2002
Assessment,,,"Samways, M.J.",,,,15543,,,,,341-368,,,,Odonatologica,,,Published,National Red List of South African Odonata,journal article,,35,2006
Assessment,,,"Samways, M.J.",,,,15543,0960-3115 (Print) 1572-9710 (Online),,9,,2575-2586,,,,Biodiversity and Conservation,,,,Honing Red List assessments of lesser known taxa in biodiversity hotspots,Journal Article,10.1007/s10531-006-9023-z,16,2006
Assessment,,,"Samways, M.J.",,,,15543,,,,,255-262,,,,International Journal of Odonatology,,,,Critical species of Odonata in southern Africa,Journal Article,,7,2004
Assessment,,,"Pinhey, E.",,,,15543,,,,,147-188,,,,Journal of the Entomological Society of southern Africa,,,,A survey to the dragonflies (Odonata) of South Africa. Part 1,Journal Article,,47,1984
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,15543,,,,,,Nylstroom,Privately published by the authors,,,,,,A fieldguide to the dragonflies of South Africa,Book,,,2002
Assessment,,,"Samways, M.J.",,,,15543,,,,,13-62,,,,Odonatologica,,,,Diversity and conservation status of South African dragonflies (Odonata),Journal Article,,28,1999
Assessment,,,"Samways, M.J.",,,,15543,,,,,43-52,,,,African Entomology,,,Published,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa,journal article,,10,2002
Assessment,,,"Longfield, C.",,,,158578,,,,,13–42,,,,Publicações Culturais Companhia de Diamantes de Angola,,,Published,The Odonata of North Angola. Part II,journal article,,45,1959
Assessment,,,"Carfi, S.",,,,158578,,,,,147-181,,,,Monitore Zoologico Italiano,,,,Contribution to the knowledge of Somalian Odonata,Journal Article,,13,1974
Assessment,,,"Dijkstra, K.-D.B.",,,,158578,,,1,,26-Nov,,,,Odonatologica,,,,"The identity of some widespread and variable <i>Phyllomacromia</i> species, with a revised grouping of the genus (Anisoptera: Corduliidae)",Journal Article,,34,2005
Assessment,,,"Ris, F.",,,,158578,,,,,97-112,,,,Revue Suisse de Zoologie,,,,Odonata aus Süd-Angola,Journal Article,,38,1931
Assessment,,,"Clausnitzer, V. and Dijkstra, K.-D.B.",,,,158578,,,,,,,,,Entomologische Zeitschrift,,,,"The dragonflies (Odonata) of Ethiopia, with notes on the status of endemic taxa and the description of a new species",Journal Article,,117-130.,2005
Assessment,,,"Pinhey, E.",,,,158578,,,,,1–16,,,,Arnoldia,,,,A collection of Odonata from Angola,Journal Article,,23,1975
Assessment,,,"Pinhey, E.",,,,158578,,,,,1-64,,,,Smithersia,,,,A check-list of the Odonata of Zimbabwe and Zambia,Journal Article,,3,1984
Assessment,,,"Pinhey, E.",,,,158578,,,,,557-631,,,,"Occasional papers of the national Museums and Monuments of Rhodesia, Series B",,,,Checklist of the Odonata of Mozambique,Journal Article,,6,1981
Assessment,,,"Pinhey, E.",,,,158578,,,,,147-188,,,,Journal of the Entomological Society of southern Africa,,,,A survey to the dragonflies (Odonata) of South Africa. Part 1,Journal Article,,47,1984
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,158578,,,,,,Nylstroom,Privately published by the authors,,,,,Published,A fieldguide to the damselflies of South Africa,book,,,2005
Assessment,,,"Longfield, C.",,,,158578,,,,,11-64,,,,Publicações culturais Companhia de Diamantes de Angola,,,,The Odonata of North Angola. Part I,Journal Article,,27,1955
Assessment,,,"Suhling, F., Sahlén, G., Martens, A., Marais, E. and Schütte, C.",,,,158578,,,,,311-332,,,,Biodiversity and Conservation,,,,Dragonfly assemblages in arid tropical environments: a case study from western Namibia,Journal Article,,15,2006
Assessment,,,"Pinhey, E.",,,,158578,,,,,81-86,,,,Publiçaciones culturais Companhia de Diamantes de Angola Lisboa,,,,Some dragonflies (Odonata) from Angola; and descriptions of three new species of the family Gomphidae,Journal Article,,56,1961
Assessment,,,"Pinhey, E.",,,,158578,,,,,97–129,,,,Publiçaciones culturais Companhia de Diamantes de Angola Lisboa,,,,Dragonflies (Odonata) of the Angola–Congo borders of Rhodesia,Journal Article,,63,1964
Assessment,,,"Pinhey, E.",,,,158578,,,,,1-48,,,,Journal of the Entomological Society of southern Africa,,,,A survey of the dragonflies (Odonata) of South Africa. Part 2. Anisoptera,Journal Article,,48,1985
Assessment,,,"Pinhey, E.",,,,158578,,,,,524-601,,,,"Occasional papers of the national Museums and Monuments of Rhodesia, Series B",,,,"Dragonflies (Odonata) of Botswana, with ecological notes",Journal Article,,5,1976
Assessment,,,"Pinhey, E.",,,,158578,,,,,159-164,,,,"Revista de Biologia, Lisboa",,,,"Odonata from Luanda and the Lucala River, Angola",Journal Article,,5,1965
Assessment,,,"Pinhey, E.",,,,158578,,,,,71-76,,,,Publiçaciones culturais Companhia de Diamantes de Angola Lisboa,,,,"A collection of Odonata from Dundo, Angola. With the descriptions of two new species of Gomphids",Journal Article,,56,1961
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,158578,,,,,,Nylstroom,Privately published by the authors,,,,,,A fieldguide to the dragonflies of South Africa,Book,,,2002
Assessment,,,"Samways, M.J.",,,,158578,,,,,13-62,,,,Odonatologica,,,,Diversity and conservation status of South African dragonflies (Odonata),Journal Article,,28,1999
Assessment,,,"Kipping, J.",,,,158578,,,,,In press,,,,Cimbebasia Memoirs,,,,The Odonata of Botswana - an annotated checklist,Journal Article,,5,2006
Assessment,,,"Longfield, C.",,,,158578,,,,,1–31,,,,"Arquivos do Museu Bocage, Lisboa",,,,The Odonata of South Angola,Journal Article,,16,1947
Assessment,,,"Pinhey, E.",,,,158578,,,,,17-Jan,,,,Arnoldia,,,,Odonata of Ngamiland,Journal Article,,15,1967
Assessment,,,"Samways, M.J.",,,,158578,,,,,43-52,,,,African Entomology,,,Published,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa,journal article,,10,2002
Assessment,,,"Martens, A., Jödicke, R. and Suhling, F.",,,,158578,,,,,139–160,,,,Cimbebasia,,,Published,Annotated checklist of the Odonata of Namibia,journal article,,18,2003
Assessment,,,"Dijkstra, K.-D.B.",,,,168007,,,,,27-48,,,,Zootaxa,,,,Gone with the wind: westward dispersal across the Indian Ocean and island speciation in Hemicordulia dragonflies (Odonata: Corduliidae),Journal Article,,1438,2007
Assessment,,,"Samways, M.J.",,,,168007,,,,,151-171,,,,Odonatologica,,,Published,Red Listed Odonata Species of Africa,journal article,,31,2002
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,168007,,,,,,Nylstroom,Privately published by the authors,,,,,,A fieldguide to the dragonflies of South Africa,Book,,,2002
Assessment,,,"Samways, M.J.",,,,168013,,,,,341-368,,,,Odonatologica,,,Published,National Red List of South African Odonata,journal article,,35,2006
Assessment,,,"Dijkstra, K.-D.B.",,,,168013,,,,,119-132,,,,International Journal of Odonatology,,,Published,"African <i>Diplacodes</i>, the status of the small species and the genus <i>Philonomon</i> (Odonata: Libellulidae)",journal article,,9,2006
Assessment,,,"Pinhey, E.",,,,168013,,,,,61-68,,,,Arnoldia,,,Published,Two interesting species of <i>Aeshna</i> Fabricius from Zambia (Odonata: Aeshnidae),journal article,,9,1981
Assessment,,,"Pinhey, E.",,,,168013,,,,,1-64,,,,Smithersia,,,,A check-list of the Odonata of Zimbabwe and Zambia,Journal Article,,3,1984
Assessment,,,"Samways, M.J.",,,,168013,,,,,43-52,,,,African Entomology,,,Published,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa,journal article,,10,2002
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,168022,,,,,,Nylstroom,Privately published by the authors,,,,,Published,A fieldguide to the damselflies of South Africa,book,,,2005
Assessment,,,"Samways, M.J.",,,,168022,,,,,13-62,,,,Odonatologica,,,,Diversity and conservation status of South African dragonflies (Odonata),Journal Article,,28,1999
Assessment,,,"Samways, M.J.",,,,168022,,,,,43-52,,,,African Entomology,,,Published,A strategy for national red listing invertebrates based on experiences with Odonata in South Africa,journal article,,10,2002
Assessment,,6723,"Dijkstra, K.-D.B. and Clausnitzer, V.",,,,184261,,,,,,,,,Tijdschrift voor Entomologie,,,,"An annotated checklist of the dragonflies (Odonata) of eastern Africa, with critical lists for Ethiopia, Kenya, Malawi, Tanzania and Uganda, new records, taxonomic notes and descriptions of new species",journal article,,,in prep
Assessment,,"Studies in Afrotropical Zoology (Monograph Series of the Africa Museum in Tervuren, Belgium)","Dijkstra, K.-D.B. and Clausnitzer, V.",,,,184261,,,,,1-264,,,,Studies in Afrotropical Zoology,,,Published,The Dragonflies and Damselflies of Eastern Africa: Handbook for all Odonata from Sudan to Zimbabwe.,journal article,,298,2014
Assessment,,,"Dijkstra, K.-D.B.",,,,184261,,,,,119-132,,,,International Journal of Odonatology,,,Published,"African <i>Diplacodes</i>, the status of the small species and the genus <i>Philonomon</i> (Odonata: Libellulidae)",journal article,,9,2006
Assessment,,,"Longfield, C.",,,,184261,,,,,13–42,,,,Publicações Culturais Companhia de Diamantes de Angola,,,Published,The Odonata of North Angola. Part II,journal article,,45,1959
Assessment,,,"Ris, F.",,,,184261,,,,,97-112,,,,Revue Suisse de Zoologie,,,,Odonata aus Süd-Angola,Journal Article,,38,1931
Assessment,,,"Samways, M.J.",,,,184261,,,,,151-171,,,,Odonatologica,,,Published,Red Listed Odonata Species of Africa,journal article,,31,2002
Assessment,,,"Pinhey, E.",,,,184261,,,,,61-68,,,,Arnoldia,,,Published,Two interesting species of <i>Aeshna</i> Fabricius from Zambia (Odonata: Aeshnidae),journal article,,9,1981
Assessment,,,"Martens, A., Jödicke, R. and Suhling, F.",,,,184261,,,,,139-160,,,,Cimbebasia,,,,Annotated checklist of the Odonata of Namibia,Journal Article,,18,2003
Assessment,,,"Pinhey, E.",,,,184261,,,,,1–16,,,,Arnoldia,,,,A collection of Odonata from Angola,Journal Article,,23,1975
Assessment,,,"Pinhey, E.",,,,184261,,,,,1-64,,,,Smithersia,,,,A check-list of the Odonata of Zimbabwe and Zambia,Journal Article,,3,1984
Assessment,,,"Pinhey, E.",,,,184261,,,,,147-188,,,,Journal of the Entomological Society of southern Africa,,,,A survey to the dragonflies (Odonata) of South Africa. Part 1,Journal Article,,47,1984
Assessment,,,"Tarboton, W. and Tarboton, M.",,,,184261,,,,,,Nylstroom,Privately published by the authors,,,,,Published,A fieldguide to the damselflies of South Africa,book,,,2005
Assessment,,,"Longfield, C.",,,,184261,,,,,11-64,,,,Publicações culturais Companhia de Diamantes de Angola,,,,The Odonata of North Angola. Part I,Journal Article,,27,1955
Assessment,,,"Suhling, F., Sahlén, G., Martens, A., Marais, E. and Schütte, C.",,,,184261,,,,,311-332,,,,Biodiversity and Conservation,,,,Dragonfly assemblages in arid tropical environments: a case study from western Namibia,Journal Article,,15,2006
Assessment,,,"Pinhey, E.",,,,184261,,,,,81-86,,,,Publiçaciones culturais Companhia de Diamantes de Angola Lisboa,,,,Some dragonflies (Odonata) from Angola; and descriptions of three new species of the family Gomphidae,Journal Article,,56,1961
Assessment,,,"Pinhey, E.",,,,184261,,,,,97–129,,,,Publiçaciones culturais Companhia de Diamantes de Angola Lisboa,,,,Dragonflies (Odonata) of the Angola–Congo borders of Rhodesia,Journal Article,,63,1964
Assessment,,,"Pinhey, E.",,,,184261,,,,,1-48,,,,Journal of the Entomological Society of southern Africa,,,,A survey of the dragonflies (Odonata) of South Africa. Part 2. Anisoptera,Journal Article,,48,1985
Assessment,,,"Pinhey, E.",,,,184261,,,,,524-601,,,,"Occasional papers of the national Museums and Monuments of Rhodesia, Series B",,,,"Dragonflies (Odonata) of Botswana, with ecological notes",Journal Article,,5,1976
