Research.ResearchSubfield.ResearchLookup,Research.ResearchSubfield.ResearchName,Research.ResearchSubfield.note,internal_taxon_id
3.1,,,13257
1.2,,,13257
3.1,,,15543
1.3,,,15543
1.5,,,15543
1.6,,,15543
1.2,,,15543
3.1,,,15543
1.3,,,15543
1.5,,,15543
1.6,,,15543
1.2,,,15543
3.1,,,158578
1.3,,,158578
1.5,,,158578
1.2,,,158578
3.1,,,168007
1.3,,,168007
1.5,,,168007
1.6,,,168007
1.1,,,168007
1.2,,,168007
3.1,,,168013
1.3,,,168013
1.5,,,168013
1.6,,,168013
1.2,,,168013
3.1,,,168022
3.1,,None,184261
3.1,,,22816
1.3,,,22816
1.5,,,22816
1.6,,,22816
1.2,,,22816
3.1,,,42840
1.2,,,42840
3.1,,,42843
1.5,,,42843
1.2,,,42843
3.1,,,42845
1.3,,,42845
1.5,,,42845
1.2,,,42845
3.1,,,4731
1.2,,,4731
3.1,,None,59781
1.3,,"None --- 
None",59781
1.2,,None,59781
3.1,,,59781
1.3,,,59781
1.5,,,59781
1.1,,,59781
1.2,,,59781
3.1,,None,59793
3.1,,None,59797
1.3,,"None --- 
None",59797
1.5,,None,59797
1.6,,None,59797
1.1,,None,59797
1.2,,None,59797
3.1,,,59797
1.3,,,59797
1.5,,,59797
1.6,,,59797
1.1,,,59797
1.2,,,59797
3.1,,,59755
1.2,,,59755
3.1,,None,59866
3.1,,,59866
3.1,,,59800
1.3,,,59800
1.5,,,59800
1.1,,,59800
1.2,,,59800
3.1,,,59800
3.1,,,59801
1.5,,,59801
3.1,,,59801
1.3,,,59801
1.5,,,59801
3.1,,None,59871
1.3,,None,59871
100.2,,"Migration note:
Reallocate within category 1-Research",59871
1.1,,None,59871
1.2,,None,59871
3.1,,,59871
1.3,,,59871
1.1,,,59871
1.2,,,59871
3.1,,None,59805
1.3,,"None --- 
None",59805
1.6,,None,59805
1.1,,None,59805
1.2,,None,59805
3.1,,,59805
1.3,,,59805
1.6,,,59805
1.1,,,59805
1.2,,,59805
3.1,,None,59809
1.3,,"None --- 
None",59809
1.5,,None,59809
1.2,,None,59809
3.1,,,59809
1.3,,,59809
1.5,,,59809
1.2,,,59809
3.1,,None,59814
3.1,,None,59893
3.1,,,59893
3.1,,None,59894
3.1,,,59894
3.1,,None,59821
3.1,,,59821
3.1,,None,59899
3.1,,,59899
3.1,,,59824
3.1,,None,59833
1.3,,"None --- 
None",59833
1.5,,None,59833
1.6,,None,59833
1.1,,None,59833
1.2,,None,59833
3.1,,,59833
1.3,,,59833
1.5,,,59833
1.6,,,59833
1.1,,,59833
1.2,,,59833
3.1,,None,59835
3.1,,,59835
3.1,,None,59845
1.2,,None,59845
3.1,,,59845
1.2,,,59845
3.1,,,59854
1.6,,,59854
3.1,,None,59854
1.3,,None,59854
1.5,,None,59854
1.6,,None,59854
1.2,,None,59854
3.1,,None,59856
3.1,,,59856
1.3,,,59856
3.1,,None,59858
1.3,,None,59858
1.2,,None,59858
3.1,,,59858
1.3,,,59858
1.2,,,59858
3.1,,None,59876
3.1,,,59876
1.3,,,59876
1.2,,,59876
3.1,,,59879
1.3,,,59879
1.5,,,59879
1.2,,,59879
3.1,,,59879
3.4,,,59879
1.5,,,59879
1.2,,,59879
1.6,,None,59881
1.2,,None,59881
3.1,,,59881
1.5,,,59881
1.6,,,59881
1.2,,,59881
3.1,,,59964
3.1,,,59964
3.1,,,59900
1.3,,,59900
1.5,,,59900
1.2,,,59900
3.1,,,59900
1.2,,,59900
3.1,,None,59968
3.1,,,59968
1.2,,,59968
3.1,,None,59904
3.1,,,59904
3.1,,None,59905
3.1,,,59905
1.3,,,59905
1.5,,,59905
3.1,,None,59906
3.1,,,59906
3.1,,None,59981
1.2,,None,59981
3.1,,,59981
1.2,,,59981
3.1,,None,59907
3.1,,,59907
3.1,,None,59908
1.1,,None,59908
1.2,,None,59908
3.1,,,59908
1.1,,,59908
1.2,,,59908
3.1,,,59983
1.3,,,59983
3.1,,,59983
3.1,,None,59986
1.3,,None,59986
1.1,,None,59986
1.2,,None,59986
3.1,,,59986
1.3,,,59986
1.1,,,59986
1.2,,,59986
3.1,,None,59912
3.1,,,59912
3.1,,None,59995
1.1,,None,59995
1.2,,None,59995
3.1,,,59995
1.3,,,59995
1.5,,,59995
1.1,,,59995
1.2,,,59995
3.1,,None,59997
3.1,,,59997
100.1,,Reallocate to 2.1-Conservation planning->Species Action/Recovery Plan or 2.2-Conservation planning->Area-based management plan pr 2.3-Conservation planning->Harvest & trade management plan,59997
1.3,,,59997
1.5,,,59997
1.6,,,59997
1.2,,,59997
3.1,,,59925
1.3,,,59925
1.6,,,59925
1.2,,,59925
3.1,,None,59925
1.3,,"None --- 
None",59925
1.6,,None,59925
