infraType,infrarankAuthor,infrarankName,internal_taxon_id,name,speciesAuthor,speciesName
,,,4730,"Chlorolestes draconica Balinsky, 1956 [orth. error]","Balinsky, 1956 [orth. error]",draconica
,,,13257,"Metacnemis angusta Selys, 1863","Selys, 1863",angusta
,,,59755,"Brachythemis liberiensis Fraser, 1949","Fraser, 1949",liberiensis
,,,59781,"Mombagrion gracile Sjöstedt, 1909","Sjöstedt, 1909",gracile
,,,59781,"Aciagrion hamoni Fraser, 1955","Fraser, 1955",hamoni
,,,59781,"Aciagrion pinheyi Samways, 2001","Samways, 2001",pinheyi
,,,59797,"Enallagma sinuatum Ris, 1921","Ris, 1921",sinuatum
,,,59811,"Anax senegalensis Rambur, 1842","Rambur, 1842",senegalensis
,,,59811,"Aeshna mediterranea Selys, 1839","Selys, 1839",mediterranea
,,,59811,"Aeschna ephippigera Burmeister, 1839","Burmeister, 1839",ephippigera
,,,59811,"Anax marginope Baijal & Agarwal, 1955","Baijal & Agarwal, 1955",marginope
,,,59811,"Hemianax ephippiger (Burmeister, 1839)","(Burmeister, 1839)",ephippiger
,,,59812,"Anax formosa Vander Linden, 1823","Vander Linden, 1823",formosa
,"Rambur, 1842",,59812,"Anax mauricianus Rambur, 1842","Rambur, 1842",mauricianus
,,,59812,"Aeschna azurea Charpentier, 1825","Charpentier, 1825",azurea
,,,59812,"Aeschna lunata Kolenati, 1856","Kolenati, 1856",lunata
,,,59813,"Anax rutherfordi McLachlan, 1883","McLachlan, 1883",rutherfordi
,,,59814,"Anax goliath Selys, 1872","Selys, 1872",goliath
,,,59819,"Enallagma nigridorsum Selys, 1876","Selys, 1876",nigridorsum
,,,59822,"Libellula leucosticta Burmeister, 1839","Burmeister, 1839",leucosticta
,,,59822,"Libellula unifasciata Rambur, 1842","Rambur, 1842",unifasciata
,,,59828,"Agrion rhomboidalis Palisot de Beauvois, 1805","Palisot de Beauvois, 1805",rhomboidalis
,,,59828,"Agrion ferrugineum Rambur, 1842","Rambur, 1842",ferrugineum
,,,59828,"Agrion glabrum Burmeister, 1839","Burmeister, 1839",glabrum
subspecies,"Pinhey, 1963",longispinum,59828,"Ceriagrion glabrum ssp. longispinum Pinhey, 1963","Pinhey, 1963",glabrum
,,,59833,"Ceriagrion moorei Longfield, 1952","Longfield, 1952",moorei
,,,59833,"Ceriagrion hamoni Fraser, 1955","Fraser, 1955",hamoni
,,,59859,"Libellula erythraea Brullé, 1832","Brullé, 1832",erythraea
subspecies,"Schneider, 1982",arabcia,59860,"Crocothemis sanguinolenta ssp. arabcia Schneider, 1982",,sanguinolenta
,,,59864,"Diplacodes lefebvrei (Rambur, 1842)","(Rambur, 1842)",lefebvrei
,,,59864,"Diplacodes okavangoensis Pinhey, 1976","Pinhey, 1976",okavangoensis
,,,59864,"Libellula lefebvrii Rambur, 1842","Rambur, 1842",lefebvrii
,,,59871,"Gomphidia balii Fraser, 1949","Fraser, 1949",balii
,,,59879,"Gynacantha zuluensis Balinsky, 1961","Balinsky, 1961",zuluensis
,,,59893,"Hemistigma albipuncta (Rambur, 1842)","(Rambur, 1842)",albipuncta
,,,59894,"Cinitogomphus dundoensis Pinhey, 1961","Pinhey, 1961",dundoensis
,,,59897,"Agrion senegalense Rambur, 1842","Rambur, 1842",senegalense
,,,59897,"Enallagma brevispina Selys, 1876","Selys, 1876",brevispina
,,,59902,"Lestes (Xerolestes) pallidus Rambur, 1842","Rambur, 1842",pallidus
,,,59902,"Lestes sellatus Hagen, 1862","Hagen, 1862",sellatus
,,,59902,"Xerolestes pallidus (Rambur, 1842)","(Rambur, 1842)",pallidus
,,,59921,"Orthetrum farinosum Förster, 1898","Förster, 1898",farinosum
,,,59921,"Orthetrum pollinosum Karsch, 1899","Karsch, 1899",pollinosum
,,,59941,"Olpogastra fuelleborni Grunberg, 1902","Grunberg, 1902",fuelleborni
subspecies,"Fraser, 1956",xerophilus,59946,"Onychogomphus supinus ssp. xerophilus Fraser, 1956",,supinus
,,,59948,"Chlorocnemis inepta  Grünberg, 1902"," Grünberg, 1902",inepta
,,,59948,"Orthetrum phillipsi Kirby, 1896","Kirby, 1896",phillipsi
,,,59948,"Orthetrum flavidulum Kirby, 1898","Kirby, 1898",flavidulum
,,,59948,"Orthetrum mundulum Morton, 1928","Morton, 1928",mundulum
,,,59948,"Oxythemis villiersi Fraser, 1949","Fraser, 1949",villiersi
,,,59951,"Libellula brachiale Palisot de Beauvois, 1805","Palisot de Beauvois, 1805",brachiale
,,,59952,"Libellula caffra Burmeister, 1839","Burmeister, 1839",caffra
,,,59954,"Libellula barbara Selys, 1849","Selys, 1849",barbara
,,,59964,"Libellula stemmalis Burmeister, 1839","Burmeister, 1839",stemmalis
,,,59964,"Orthetrum kalai Longfield, 1936","Longfield, 1936",kalai
subspecies,"Longfield, 1936",kalai,59964,"Orthetrum stemmale ssp. kalai Longfield, 1936",,stemmale
,,,59969,"Libellula lucia Drury, 1773","Drury, 1773",lucia
subspecies,"Drury, 1773",lucia,59969,"Palpopleura lucia ssp. lucia Drury, 1773",,lucia
,,,59970,"Libellula portia Drury, 1773","Drury, 1773",portia
subspecies,"Drury, 1773",portia,59970,"Palpopleura lucia ssp. portia Drury, 1773",,lucia
