ConservationActions.ConservationActionsSubfield.ConservationActionsLookup,ConservationActions.ConservationActionsSubfield.ConservationActionsName,ConservationActions.ConservationActionsSubfield.note,internal_taxon_id
2.1,,,13257
2.3,,,13257
2.3,,,15543
2.3,,,15543
2.1,,,22816
3.3.2,,,42840
2.1,,,42840
2.3,,,42840
3.3.2,,,42843
2.1,,,42843
2.3,,,42843
2.1,,,42845
2.3,,,42845
2.1,,,4731
2.3,,,4731
1.2,,,4731
4.1,,,59793
2.1,,,59805
2.1,,,59809
2.1,,,59813
2.1,,,59845
2.1,,,59856
2.1,,,59860
2.1,,,59876
2.3,,,59876
4.3,,,59879
2.1,,,59879
2.3,,,59879
2.1,,,59881
2.3,,,59881
2.1,,,59905
2.1,,,59906
2.1,,,59907
2.3,,,59907
2.1,,,59908
2.1,,,59995
2.1,,,59926
2.3,,,59926
2.1,,,59962
2.1,,,59978
2.3,,,59978
2.1,,,60079
2.1,,,60013
2.1,,,60022
2.1,,,60044
2.1,,,60051
2.1,,,63178
2.1,,,63191
2.3,,,63191
4.3,,,63193
2.1,,,63193
2.1,,,63202
2.1,,,63214
2.1,,,63216
2.3,,,63216
2.1,,,63219
2.3,,,63219
2.1,,,6973
2.3,,,6973
2.1,,,6975
2.3,,,6975
