CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceLookup,CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceName,CountryOccurrence.CountryOccurrenceSubfield.formerlyBred,CountryOccurrence.CountryOccurrenceSubfield.origin,CountryOccurrence.CountryOccurrenceSubfield.presence,CountryOccurrence.CountryOccurrenceSubfield.seasonality,internal_taxon_id
CPP-WC,,,Native,Extant,Resident,13257
ZA,,,Native,Extant,Resident,13257
CPP-WC,,,Native,Extant,Resident,15543
ZA,,,Native,Extant,Resident,15543
CPP-WC,,Yes,Native,Possibly Extinct,Resident,15543
ZA,,Yes,Native,Possibly Extinct,Resident,15543
AO,,,Native,Extant,Resident,158578
NA,,,Native,Extant,Resident,158578
ZW,,,Native,Extant,Resident,158578
ZM,,,Native,Extant,Resident,158578
SZ,,,Native,Presence Uncertain,,158578
MZ,,,Native,Extant,Resident,158578
ZA,,,Native,Extant,Resident,158578
BW,,,Native,Extant,Resident,158578
ZA,,,Vagrant,Presence Uncertain,,167478
NAT-OO,,,Native,Extant,Resident,168007
ZA,,,Native,Extant,Resident,168007
NAT-OO,,,Native,Extant,Resident,168013
ZW,,,Native,Extant,Resident,168013
ZM,,,Native,Extant,Resident,168013
TVL-NP,,,Native,Extant,Resident,168013
MZ,,,Native,Extant,Resident,168013
ZA,,,Native,Extant,Resident,168013
CPP-WC,,,Native,Extant,Resident,168022
OFS-OO,,,Native,Extant,Resident,168022
ZA,,,Native,Extant,Resident,168022
TVL-GA,,,Native,Extant,Resident,168022
CPP-NC,,,Native,Extant,Resident,168022
AO,,,Native,Extant,Resident,184261
NA,,,Native,Extant,Resident,184261
ZW,,,Native,Extant,Resident,184261
ZM,,,Native,Extant,Resident,184261
SZ,,,Native,Presence Uncertain,,184261
MZ,,,Native,Extant,Resident,184261
ZA,,,Native,Extant,Resident,184261
BW,,,Native,Extant,Resident,184261
NAT-OO,,,Native,Extant,Resident,22816
MZ,,,Native,Extant,Resident,22816
ZA,,,Native,Extant,Resident,22816
ZA,,,Native,Extant,Resident,42840
CPP-EC,,,Native,Extant,Resident,42840
CPP-WC,,,Native,Presence Uncertain,,42843
NAT-OO,,,Native,Possibly Extinct,,42843
TVL-MP,,,Native,Extant,Resident,42843
ZA,,,Native,Extant,Resident,42843
CPP-EC,,,Native,Presence Uncertain,,42843
CPP-WC,,,Native,Extant,Resident,42845
ZA,,,Native,Extant,Resident,42845
LS,,,Native,Extant,Resident,4730
ZA,,,Native,Extant,Resident,4730
ZA,,,Native,Extant,Resident,4731
CPP-EC,,,Native,Extant,Resident,4731
AO,,,Native,Extant,Resident,59781
NA,,,Native,Presence Uncertain,,59781
ZW,,,Native,Extant,Resident,59781
ZM,,,Native,Extant,Resident,59781
MZ,,,Native,Extant,Resident,59781
CPV-OO,,,Native,Presence Uncertain,,59781
BW,,,Native,Extant,Resident,59781
AO,,,Native,Extant,Resident,59793
NA,,,Native,Extant,Resident,59793
ZW,,,Native,Extant,Resident,59793
ZM,,,Native,Extant,Resident,59793
MZ,,,Native,Extant,Resident,59793
ZA,,,Native,Extant,Resident,59793
BW,,,Native,Extant,Resident,59793
ZW,,,Native,Extant,Resident,59797
ZM,,,Native,Extant,Resident,59797
ZA,,,Native,Extant,Resident,59797
NAT-OO,,,Native,Extant,Resident,59755
NA,,,Native,Extant,Resident,59755
ZW,,,Native,Extant,Resident,59755
ZM,,,Native,Extant,Resident,59755
ZA,,,Native,Extant,Resident,59755
BW,,,Native,Extant,Resident,59755
AO,,,Native,Extant,Resident,59866
LS,,,Native,Presence Uncertain,,59866
NA,,,Native,Extant,Resident,59866
ZW,,,Native,Extant,Resident,59866
ZM,,,Native,Extant,Resident,59866
SZ,,,Native,Extant,Resident,59866
