assessment_id,credit_type,internal_taxon_id,text
3431878,Assessor,13257,"Samways, M.J."
4779963,Assessor,15543,"Samways, M.J."
5224591,Assessor,158578,"Suhling, F."
6355114,Assessor,167478,"Suhling, F."
6442292,Assessor,168013,"Suhling, F."
6447608,Assessor,168022,"Suhling, F."
8257950,Assessor,184261,"Suhling, F."
9389698,Assessor,22816,"Suhling, F. & Samways, M.J."
10757962,Assessor,42840,"Samways, M.J."
10758888,Assessor,42843,"Samways, M.J."
10759240,Assessor,42845,"Samways, M.J."
11090775,Assessor,4730,"Samways, M.J."
11091140,Assessor,4731,"Samways, M.J."
11984432,Assessor,59781,"Suhling, F."
12000134,Assessor,59793,"Suhling, F."
12005202,Assessor,59797,"Suhling, F."
12013859,Assessor,59755,"Suhling, F."
12018513,Assessor,59866,"Suhling, F."
12019993,Assessor,59800,"Suhling, F."
12022686,Assessor,59801,"Clausnitzer, V."
12027656,Assessor,59871,"Suhling, F."
12029907,Assessor,59805,"Suhling, F."
12037545,Assessor,59809,"Suhling, F."
12042932,Assessor,59811,"Suhling, F."
12046711,Assessor,59812,"Suhling, F."
12050050,Assessor,59813,"Suhling, F."
12052120,Assessor,59814,"Suhling, F."
12054562,Assessor,59893,"Suhling, F."
12056359,Assessor,59894,"Suhling, F."
12059683,Assessor,59819,"Suhling, F."
12061963,Assessor,59897,"Suhling, F."
12065698,Assessor,59821,"Suhling, F."
12067098,Assessor,59899,"Suhling, F."
12068885,Assessor,59822,"Suhling, F."
12072031,Assessor,59824,"Suhling, F."
12076492,Assessor,59828,"Suhling, F."
12081287,Assessor,59833,"Suhling, F."
12083974,Assessor,59835,"Suhling, F."
12089794,Assessor,59845,"Suhling, F."
12096092,Assessor,59856,"Suhling, F."
12098112,Assessor,59858,"Suhling, F."
12100164,Assessor,59859,"Suhling, F."
12103550,Assessor,59860,"Suhling, F."
12106461,Assessor,59864,"Suhling, F."
12111550,Assessor,59876,"Suhling, F."
12114691,Assessor,59879,"Suhling, F."
12116731,Assessor,59881,"Suhling, F."
12120886,Assessor,59964,"Suhling, F."
12122013,Assessor,59900,"Suhling, F."
12125383,Assessor,59965,"Suhling, F."
12127356,Assessor,59902,"Suhling, F."
12128807,Assessor,59967,"Suhling, F."
12131137,Assessor,59968,"Suhling, F."
12132300,Assessor,59904,"Suhling, F."
12133887,Assessor,59905,"Suhling, F."
12135761,Assessor,59906,"Suhling, F."
12136190,Assessor,59981,"Suhling, F."
12137794,Assessor,59907,"Suhling, F."
12139396,Assessor,59908,"Suhling, F."
12141251,Assessor,59983,"Suhling, F."
12144670,Assessor,59986,"Suhling, F."
12145823,Assessor,59912,"Suhling, F."
12157404,Assessor,59995,"Suhling, F."
12159816,Assessor,59921,"Suhling, F."
12162026,Assessor,59997,"Suhling, F."
12165919,Assessor,59926,"Suhling, F."
12172056,Assessor,59937,"Suhling, F."
12173462,Assessor,59941,"Suhling, F."
12175252,Assessor,59942,"Suhling, F."
12178398,Assessor,59948,"Suhling, F."
12182286,Assessor,59951,"Clausnitzer, V."
12183977,Assessor,59952,"Suhling, F."
12186032,Assessor,59954,"Suhling, F."
12188601,Assessor,59955,"Suhling, F."
12189774,Assessor,59956,"Suhling, F."
