GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsLookup,GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsName,GeneralHabitats.GeneralHabitatsSubfield.majorImportance,GeneralHabitats.GeneralHabitatsSubfield.season,GeneralHabitats.GeneralHabitatsSubfield.suitability,internal_taxon_id
5.7,,,,Suitable,13257
5.1,,,,Suitable,15543
5.1,,Yes,,Suitable,15543
5.5,,,,Suitable,158578
5.1,,,,Suitable,158578
5,,,,Marginal,167478
5.1,,Yes,,Suitable,168007
5.7,,,,Suitable,168013
5.4,,,,Suitable,168013
5.7,,,,Suitable,168022
5.1,,,,Suitable,168022
5.8,,,,Suitable,184261
5.7,,,,Suitable,184261
5.6,,,,Suitable,184261
3.5,,,,Suitable,184261
5.3,,,,Suitable,184261
5.4,,,,Suitable,184261
3.6,,,,Suitable,184261
2.1,,,,Suitable,184261
2.2,,,,Suitable,184261
5.8,,,,Suitable,22816
5.7,,,,Suitable,22816
3.6,,,,Suitable,22816
5.1,,,,Suitable,42840
5.1,,,,Suitable,42843
5.1,,,,Suitable,42845
5.1,,,,Suitable,4730
5.1,,,,Suitable,4731
5.8,,,,Suitable,59781
5.7,,,,Suitable,59781
5.3,,,,Marginal,59781
5.4,,,,Suitable,59781
5.2,,,,Marginal,59781
5.1,,,,Marginal,59781
2.2,,,,Suitable,59781
5.8,,,,Suitable,59793
5.7,,,,Suitable,59793
3.5,,,,Suitable,59793
5.3,,,,Marginal,59793
5.4,,,,Suitable,59793
3.6,,,,Suitable,59793
5.2,,,,Suitable,59793
5.1,,,,Suitable,59793
1.6,,,,Marginal,59793
2.2,,,,Suitable,59793
5.8,,,,Suitable,59797
5.7,,,,Suitable,59797
2,,,,Suitable,59797
5.2,,,,Suitable,59797
5.1,,,,Suitable,59797
5.8,,,,Suitable,59755
5.7,,,,Suitable,59755
5.6,,,,Unknown,59755
5.5,,,,Unknown,59755
5.4,,,,Suitable,59755
1.6,,,,Suitable,59755
3.5,,,,Suitable,59866
3.6,,,,Suitable,59866
5.1,,,,Suitable,59866
1.6,,,,Suitable,59866
5.8,,,,Suitable,59800
5.7,,,,Suitable,59800
5.1,,,,Suitable,59800
5.9,,,,Marginal,59800
5.7,,,,Suitable,59801
5.4,,,,Suitable,59801
5.1,,,,Suitable,59801
3.6,,,,Suitable,59871
5.1,,,,Suitable,59871
1.6,,,,Suitable,59871
2.2,,,,Suitable,59871
5.7,,,,Suitable,59805
5.6,,,,Suitable,59805
5.9,,,,Unknown,59805
5.8,,,,Unknown,59809
5.7,,,,Unknown,59809
3.5,,,,Suitable,59809
5.3,,,,Unknown,59809
3.6,,,,Suitable,59809
5.2,,,,Suitable,59809
5.1,,,,Suitable,59809
1.5,,,,Marginal,59809
1.6,,,,Marginal,59809
5.8,,,,Suitable,59811
5.7,,,,Suitable,59811
5.6,,,,Suitable,59811
5.5,,,,Suitable,59811
5.3,,,,Suitable,59811
5.4,,,,Suitable,59811
5.1,,,,Marginal,59811
5.9,,,,Marginal,59811
5.8,,,,Suitable,59812
5.7,,,,Suitable,59812
5.6,,,,Suitable,59812
5.5,,,,Suitable,59812
5.3,,,,Suitable,59812
5.4,,,,Suitable,59812
5.2,,,,Suitable,59812
5.1,,,,Suitable,59812
5.9,,,,Marginal,59812
5.2,,,,Suitable,59813
5.1,,,,Suitable,59813
5.9,,,,Marginal,59813
5.8,,,,Suitable,59814
5.7,,,,Suitable,59814
3.5,,,,Suitable,59814
5.6,,,,Suitable,59814
5.4,,,,Suitable,59814
3.6,,,,Suitable,59814
1.5,,,,Suitable,59814
1.6,,,,Suitable,59814
2.1,,,,Suitable,59814
2.2,,,,Suitable,59814
5.8,,,,Suitable,59893
5.7,,,,Suitable,59893
3.5,,,,Suitable,59893
5.3,,,,Suitable,59893
5.4,,,,Suitable,59893
3.6,,,,Suitable,59893
5.1,,,,Suitable,59893
1.6,,,,Suitable,59893
5.3,,,,Suitable,59894
2.2,,,,Suitable,59894
2.1,,,,Suitable,59894
5.1,,,,Suitable,59894
5.2,,,,Suitable,59894
3.6,,,,Suitable,59894
5.4,,,,Suitable,59894
5.5,,,,Suitable,59894
3.5,,,,Suitable,59894
5.6,,,,Suitable,59894
5.7,,,,Suitable,59894
5.8,,,,Suitable,59894
5.9,,,,Suitable,59894
1.6,,,,Suitable,59894
2.2,,,,Suitable,59819
2.1,,,,Suitable,59819
5.1,,,,Suitable,59819
3.6,,,,Suitable,59819
5.4,,,,Suitable,59819
3.5,,,,Suitable,59819
5.6,,,,Marginal,59819
5.7,,,,Suitable,59819
5.8,,,,Suitable,59819
4.5,,,,Suitable,59819
5.9,,,,Suitable,59819
1.6,,,,Marginal,59819
5.3,,,,Marginal,59819
5.14,,,,Suitable,59897
5.3,,,,Suitable,59897
2.2,,,,Suitable,59897
2.1,,,,Suitable,59897
5.1,,,,Suitable,59897
5.2,,,,Suitable,59897
3.6,,,,Suitable,59897
5.4,,,,Suitable,59897
5.5,,,,Suitable,59897
3.5,,,,Suitable,59897
5.6,,,,Suitable,59897
5.7,,,,Suitable,59897
5.8,,,,Suitable,59897
5.9,,,,Suitable,59897
1.6,,,,Suitable,59897
5.2,,,,Suitable,59821
5.1,,,,Suitable,59821
5.8,,,,Suitable,59899
5.7,,,,Suitable,59899
3.5,,,,Suitable,59899
5.6,,,,Suitable,59899
5.3,,,,Suitable,59899
5.5,,,,Marginal,59899
3.6,,,,Suitable,59899
5.2,,,,Marginal,59899
5.1,,,,Marginal,59899
1.6,,,,Suitable,59899
2.1,,,,Suitable,59899
2.2,,,,Suitable,59899
5.8,,,,Marginal,59822
5.7,,,,Suitable,59822
5.6,,,,Marginal,59822
5.5,,,,Suitable,59822
5.4,,,,Marginal,59822
5.2,,,,Marginal,59822
5.1,,,,Suitable,59822
5.8,,,,Suitable,59824
3.5,,,,Suitable,59824
3.6,,,,Suitable,59824
1.5,,,,Suitable,59824
1.6,,,,Suitable,59824
2.1,,,,Suitable,59824
2.2,,,,Suitable,59824
5.18,,,,Suitable,59824
5.8,,,,Suitable,59828
5.7,,,,Suitable,59828
5.6,,,,Suitable,59828
5.3,,,,Suitable,59828
5.5,,,,Suitable,59828
5.4,,,,Suitable,59828
5.2,,,,Suitable,59828
5.1,,,,Suitable,59828
5.9,,,,Suitable,59828
5.8,,,,Suitable,59833
5.7,,,,Suitable,59833
5.3,,,,Suitable,59833
5.4,,,,Suitable,59833
5.2,,,,Marginal,59833
5.1,,,,Suitable,59833
5.8,,,,Suitable,59835
5.7,,,,Suitable,59835
5.6,,,,Marginal,59835
5.3,,,,Suitable,59835
5.4,,,,Suitable,59835
5.2,,,,Marginal,59835
