Research.ResearchSubfield.ResearchLookup,Research.ResearchSubfield.ResearchName,Research.ResearchSubfield.note,internal_taxon_id
3.1,,,13257
1.2,,,13257
3.1,,,15543
1.3,,,15543
1.5,,,15543
1.6,,,15543
1.2,,,15543
3.1,,,15543
1.3,,,15543
1.5,,,15543
1.6,,,15543
1.2,,,15543
3.1,,,168007
3.4,,,168007
1.1,,,168007
1.2,,,168007
3.1,,,168013
1.3,,,168013
1.5,,,168013
1.6,,,168013
1.2,,,168013
3.1,,,168022
3.1,,,22816
1.3,,,22816
1.5,,,22816
1.6,,,22816
1.2,,,22816
3.1,,,42840
1.2,,,42840
3.1,,,42843
1.5,,,42843
1.2,,,42843
3.1,,,42845
1.3,,,42845
1.5,,,42845
1.2,,,42845
3.1,,,4731
1.2,,,4731
3.1,,,59781
1.3,,,59781
1.5,,,59781
1.2,,,59781
3.1,,,59793
1.3,,,59793
1.2,,,59793
3.1,,,59797
1.3,,,59797
1.5,,,59797
1.2,,,59797
3.1,,,59755
1.2,,,59755
3.1,,,59866
3.1,,,59801
1.5,,,59801
3.1,,,59805
1.3,,,59805
1.6,,,59805
1.1,,,59805
1.2,,,59805
3.1,,,59809
1.3,,,59809
1.5,,,59809
1.2,,,59809
3.1,,,59813
1.3,,,59813
1.2,,,59813
3.1,,,59814
3.1,,,59819
1.3,,,59819
3.1,,,59899
1.3,,,59833
1.5,,,59833
3.1,,,59835
3.1,,,59845
1.2,,,59845
3.1,,,59856
1.3,,,59856
3.1,,,59858
1.3,,,59858
1.2,,,59858
3.1,,,59860
3.1,,,59876
1.3,,,59876
1.2,,,59876
3.1,,,59879
1.3,,,59879
1.5,,,59879
1.2,,,59879
3.1,,,59881
1.5,,,59881
1.6,,,59881
1.2,,,59881
3.1,,,59964
3.1,,,59900
1.3,,,59900
1.5,,,59900
1.2,,,59900
3.1,,,59967
3.1,,,59905
1.2,,,59905
3.1,,,59906
1.2,,,59906
3.1,,,59981
1.2,,,59981
3.1,,,59907
1.2,,,59907
3.1,,,59908
1.3,,,59908
1.5,,,59908
1.1,,,59908
1.2,,,59908
3.1,,,59983
1.3,,,59983
3.1,,,59986
1.3,,,59986
1.1,,,59986
1.2,,,59986
3.1,,,59912
3.1,,,59995
1.3,,,59995
1.5,,,59995
1.2,,,59995
3.1,,,59921
3.1,,,59926
1.5,,,59926
1.2,,,59926
3.1,,,59941
1.2,,,59941
3.1,,,59942
3.1,,,59948
3.1,,,59952
1.2,,,59952
3.1,,,59955
1.5,,,59955
1.2,,,59955
3.1,,,59956
3.1,,,59957
3.1,,,59959
3.1,,,59962
1.2,,,59962
3.1,,,59969
3.1,,,59975
3.1,,,59978
1.2,,,59978
3.1,,,60060
1.3,,,60060
1.5,,,60060
1.2,,,60060
3.1,,,60076
3.1,,,60078
3.1,,,60079
1.3,,,60079
1.6,,,60079
1.2,,,60079
3.1,,,60011
1.2,,,60011
3.1,,,60013
1.3,,,60013
1.5,,,60013
1.2,,,60013
3.1,,,60014
3.1,,,60015
3.1,,,60018
3.1,,,60019
3.1,,,60022
3.1,,,60030
1.2,,,60030
3.1,,,60031
1.3,,,60031
1.5,,,60031
1.1,,,60031
1.2,,,60031
3.1,,,60032
3.1,,,60033
1.5,,,60033
3.1,,,60034
1.3,,,60034
1.5,,,60034
1.6,,,60034
1.1,,,60034
1.2,,,60034
3.1,,,60044
3.1,,,60051
3.1,,,60056
1.2,,,60056
3.1,,,60057
3.1,,,60058
1.2,,,60058
3.1,,,60065
1.2,,,60065
3.1,,,60068
3.1,,,60069
3.1,,,60072
1.5,,,60072
3.1,,,60073
3.1,,,63175
1.3,,,63175
1.5,,,63175
1.6,,,63175
1.2,,,63175
3.1,,,63176
1.2,,,63176
3.1,,,63178
1.3,,,63178
1.5,,,63178
1.6,,,63178
1.1,,,63178
1.2,,,63178
3.1,,,63182
1.3,,,63182
1.2,,,63182
3.1,,,63184
1.5,,,63184
1.2,,,63184
3.1,,,63185
3.1,,,63191
1.2,,,63191
3.1,,,63193
1.3,,,63193
1.6,,,63193
3.1,,,63194
1.3,,,63194
1.1,,,63194
1.2,,,63194
3.1,,,63195
1.3,,,63195
1.5,,,63195
1.2,,,63195
3.1,,,63202
1.2,,,63202
3.1,,,63203
1.3,,,63203
3.1,,,63204
1.3,,,63204
1.5,,,63204
1.2,,,63204
3.1,,,63214
1.5,,,63214
1.6,,,63214
1.2,,,63214
3.1,,,63216
1.3,,,63216
1.5,,,63216
1.2,,,63216
3.1,,,63218
1.5,,,63218
1.6,,,63218
1.2,,,63218
3.1,,,63219
1.3,,,63219
1.2,,,63219
3.1,,,6973
1.2,,,6973
3.1,,,6975
