code,value,
1,Land/water protection,
1.1,Site/area protection,
1.2,Resource & habitat protection,
2,Land/water management,
2.1,Site/area management,
2.2,Invasive/problematic species control,
2.3,Habitat & natural process restoration,
3,Species management,
3.1,Species management,
3.1.1,Harvest management,
3.1.2,Trade management,
3.1.3,Limiting population growth,
3.2,Species recovery,
3.3,Species re-introduction,
3.3.1,Reintroduction,
3.3.2,Benign introduction,
3.4,Ex-situ conservation,
3.4.1,Captive breeding/artificial propagation,
3.4.2,Genome resource bank,
4,Education & awareness,
4.1,Formal education,
4.2,Training,
4.3,Awareness & communications,
5,Law & policy,
5.1,Legislation,
5.1.1,International level,
5.1.2,National level,
5.1.3,Sub-national level,
5.1.4,Scale unspecified,
5.2,Policies and regulations,
5.3,Private sector standards & codes,
5.4,Compliance and enforcement,
5.4.1,International level,
5.4.2,National level,
5.4.3,Sub-national level,
5.4.4,Scale unspecified,
6,Livelihood, economic & other incentives
6.1,Linked enterprises & livelihood alternatives,
6.2,Substitution,
6.3,Market forces,
6.4,Conservation payments,
6.5,Non-monetary values,
100.1,OLD 1 Policy-based actions,
100.2,OLD 1.1 Policy-based actions->Management Plans,
100.3,OLD 1.1.1 Policy-based actions->Management Plans->Development,
100.4,OLD 1.1.2 Policy-based actions->Management Plans->Implementation,
100.5,OLD 1.2 Policy-based actions->Legislation,
100.6,OLD 1.3 Policy-based actions->Community management,
100.7,OLD 1.4 Policy-based actions->Other,
100.8,OLD 2 Communication and Education,
100.9,OLD 2.4 Communication and Education->Other,
100.1,OLD 4 Habitat and site-based actions,
100.11,OLD 4.4 Habitat and site-based actions->Protected areas,
100.12,OLD 4.6 Habitat and site-based actions->Other,
100.13,OLD 5 Species-based actions,
100.14,OLD 5.3 Species-based actions->Sustainable use,
100.15,OLD 5.7 Species-based actions->Ex situ conservation actions,
100.16,OLD 5.8 Species-based actions->Other,
100.17,OLD 6 Other,
100.18,OLD 3-Research Actions,
