code,value
14.1,Arable Land 
14.4,Rural Gardens
14.2,Pastureland
14.3,Plantations
14.5,Urban Areas
2.2,Moist Savana
2.1,Dry Savanna
3.5,Subtropical/Tropical Dry Shrubland
3.8,Mediterranean-type Shrubby Vegetation
3.6,Subtropical/Tropical Moist Shrubland
3.2,Subantarctic Shrubland
4.4,Temperate Grassland
4.5,Subtropical/Tropical Dry Lowland Grassland
7.1,Caves
7.2,Other Subterranean Habitats
8.2,Temperate
8.3,Cold
1.7,Subtropical/Tropical Mangrove Forest Vegetation Above High Tide Level
1.9,Subtropical/Tropical Moist Montane Forest
1.5,Subtropical/Tropical Dry Forest
1.8,Subtropical/Tropical Swamp Forest
15.3,Aquaculture Ponds
15.9,"Canals and Drainage Channels, Ditches"
15.1,Water Storage Areas [over 8 ha]
15.7,Irrigated Land [includes irrigation channels]
15.2,Ponds [below 8 ha]
15.5,Excavations (open)
15.13,Mari/Brackish-culture Ponds
15.4,Salt Exploitation Sites
15.8,Seasonally Flooded Agricultural Land
15.6,Wastewater Treatment Areas
15.10,Karst and Other Subterranean Hydrological Systems [human-made]
5.3,Shrub Dominated Wetlands
5.5,Permanent Freshwater Lakes [over 8 ha]
5.12,Geothermal Wetlands
5.13,Permanent Inland Deltas
5.7,Permanent Freshwater Marshes/Pools [under 8 ha]
5.1,"Permanent Rivers, Streams, Creeks [includes waterfalls]"
5.2,"Seasonal/Intermittent/Irregular Rivers, Streams, Creeks"
5.14,"Permanent Saline, Brackish or Alkaline Lakes"
5.16,"Permanent Saline, Brackish or Alkaline Marshes/Pools"
5.6,Seasonal/Intermittent Freshwater Lakes [over 8 ha]
5.8,Seasonal/Intermittent Freshwater Marshes/Pools [under 8 ha]
5.15,"Seasonal/Intermittent Saline, Brackish or Alkaline Lakes and Flats"
5.17,"Seasonal/Intermittent Saline, Brackish or Alkaline Marshes/Pools"
5.9,Freshwater Springs and Oases
5.18,Karst and Other Subterranean Inland Aquatic Systems
5.4,"Bogs, Marshes, Swamps, Fens, Peatlands [generally over 8 ha]"
10.1,Epipelagic (0-200 m)
10.2,Mesopelagic (200-1000 m)
10.3,Bathypelagic (1000-4000 m)
10.4,Abyssopelagic (4000-6000 m)
11.1.1,Hard Substrate
11.1.2,Soft Substrate
11.2,Abyssal Plain (4000-6000 m)
11.5,Seamount
11.1,Continental Slope/Bathyl Zone (200-4000 m)
11.3,Abyssal Mountain/Hills (4000-6000 m)
11.4,Hadal/Deep Sea Trench (>6000 m)
11.6,Deep Sea Vents (Rifts/Seeps)
12.1,Rocky Shoreline
12.2,"Sandy Shoreline and/or Beaches, Sand Bars, Spits, etc."
12.3,Shingle and/or Pebble Shoreline and/or Beaches
12.6,Tidepools
13.1,Sea Cliffs and Rocky Offshore Islands
13.4,Coastal Brackish/Saline Lagoons/Marine Lakes
13.2,Coastal Caves/Karst
13.3,Coastal Sand Dunes
13.5,Coastal Freshwater Lakes
15.11,Marine Anthropogenic Structures
15.12,Mariculture Cages
9.2,Subtidal Rock and Rocky Reefs
9.4,Subtidal Sandy
9.3,Subtidal Loose Rock/Pebble/Gravel
9.8.2,Back Slope
9.8.3,Foreslope (Outer Reef Slope)
9.5,Subtidal Sandy-Mud
9.8,Coral Reef
9.10,Estuaries
9.7,Macroalgal/Kelp
9.6,Subtidal Muddy
9.1,Pelagic
9.8.4,Lagoon
9.8.1,Outer Reef Channel
9.8.5,Inter-Reef Soft Substrate
9.8.6,Inter-Reef Rubble Substrate
12.5,Salt Marshes (Emergent Grasses)
12.7,Mangrove Submerged Roots
12.4,Mud Shoreline and Intertidal Mud Flats
13.4,Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes
9.9,Seagrass (Submerged)
15.9,"Artificial/Aquatic - Canals and Drainage Channels, Ditches"
9.10,Marine Neritic - Estuaries
17,Other
18,Unknown
