"Title","Access Date","Authors","DOI","Issue","Place Published","Publisher","Secondary Authors","Subsidiary Authors","Tertiary Authors","Type of Publication","Type of Work","Volume","Year of Publication","Pagination","Secondary Title","Nid"
"Re-descriptions of some southern African Scyphozoa: Out with the old and in with the new.","","S. Neethling","","","Bellville","Western Cape","S. Neethling","S. Neethling","S. Neethling","Thesis","MSc","MSc","2010","","Biodiversity and Conservation Biology","1444"
"Jellyfication of marine ecosystems as a likely consequence of overfishing small pelagic fishes: lessons from the Benguela","","J.P. Roux; C.D. van der Lingen; M.J. Gibbons; N.E. Moroff; L.J. Shannon; A.D.M. Smith; P.M. Cury","","","","","J.P. Roux; C.D. van der Lingen; M.J. Gibbons; N.E. Moroff; L.J. Shannon; A.D.M. Smith; P.M. Cury","J.P. Roux; C.D. van der Lingen; M.J. Gibbons; N.E. Moroff; L.J. Shannon; A.D.M. Smith; P.M. Cury","J.P. Roux; C.D. van der Lingen; M.J. Gibbons; N.E. Moroff; L.J. Shannon; A.D.M. Smith; P.M. Cury","Journal Article","","89","2013","249–284","Bulletin of Marine Science","1440"
"Medusae (Hydrozoa, Scyphozoa, Cubozoa) of the Benguela Current (southeastern Atlantic)","","F. Pagès; J.María Gili; J. Bouillon","","","","","F. Pagès; J.María Gili; J. Bouillon","F. Pagès; J.María Gili; J. Bouillon","F. Pagès; J.María Gili; J. Bouillon","Journal Article","","56","1992","1–64","Scientia Marina","1439"
"Revision of the genus Chrysaora Péron & Lesueur, 1810 (Cnidaria: Scyphozoa)","","A.C. Morandini; A.C. Marques","","","","","A.C. Morandini; A.C. Marques","A.C. Morandini; A.C. Marques","A.C. Morandini; A.C. Marques","Journal Article","","2464","2010","1–97","Zootaxa","1438"
"Temporal and spatial patterns in the abundance of jellyfish in the northern Benguela upwelling ecosystem and their link to thwarted pelagic fishery recovery","","B.A. Flynn; A.J. Richardson; A.S. Brierley; D.C. Boyer","","","","","B.A. Flynn; A.J. Richardson; A.S. Brierley; D.C. Boyer","B.A. Flynn; A.J. Richardson; A.S. Brierley; D.C. Boyer","B.A. Flynn; A.J. Richardson; A.S. Brierley; D.C. Boyer","Journal Article","","34","2012","131–146","African Journal of Marine Science","1437"
"Temporal and spatial patterns in the abundance of jellyfish in the northern Benguela upwelling ecosystem and their link to thwarted pelagic fishery recovery","","B.A. Flynn; A.J. Richardson; A.S. Brierley; D.C. Boyer; B.E. Axelsen; L. Scott; N.E. Moroff; P.I. Kainge; B.M. Tjizoo; M.J. Gibbons","","","","","B.A. Flynn; A.J. Richardson; A.S. Brierley; D.C. Boyer; B.E. Axelsen; L. Scott; N.E. Moroff; P.I. Kainge; B.M. Tjizoo; M.J. Gibbons","B.A. Flynn; A.J. Richardson; A.S. Brierley; D.C. Boyer; B.E. Axelsen; L. Scott; N.E. Moroff; P.I. Kainge; B.M. Tjizoo; M.J. Gibbons","B.A. Flynn; A.J. Richardson; A.S. Brierley; D.C. Boyer; B.E. Axelsen; L. Scott; N.E. Moroff; P.I. Kainge; B.M. Tjizoo; M.J. Gibbons","Journal Article","","34","2012","131–146","African Journal of Marine Science","1436"
"A note on the diet and feeding of Chrysaora hysoscella in Walvis Bay Lagoon, Namibia, during September 2003","","B.A. Flynn; M.J. Gibbons","","","","","B.A. Flynn; M.J. Gibbons","B.A. Flynn; M.J. Gibbons","B.A. Flynn; M.J. Gibbons","Journal Article","","29","2007","303–307","African Journal of Marine Science","1435"
"Biometry and size distribution of Chrysaora hysoscella (Cnidaria, Scyphozoa) and Aequorea aequorea (Cnidaria, Hydrozoa) off Namibia with some notes on their parasite Hyperia medusarum","","E. Buecher; C. Sparks; A. Brierley; H. Boyer; M. Gibbons","","","","","E. Buecher; C. Sparks; A. Brierley; H. Boyer; M. Gibbons","E. Buecher; C. Sparks; A. Brierley; H. Boyer; M. Gibbons","E. Buecher; C. Sparks; A. Brierley; H. Boyer; M. Gibbons","Journal Article","","23","2001","1073–1080","Journal of Plankton Research","1434"
"Identification of $\alpha$-galactosyl and other carbohydrate epitopes that are bound by human anti-pig antibodies: relevance to discordant xenografting in man","","D.K.C. Cooper; A.H. Good; E. Koren; R. Oriol; A.J. Malcolm; R.M. Ippolito; F.A. Neethling; Y. Ye; E. Romano; N. Zuhdi","","","","","D.K.C. Cooper; A.H. Good; E. Koren; R. Oriol; A.J. Malcolm; R.M. Ippolito; F.A. Neethling; Y. Ye; E. Romano; N. Zuhdi","D.K.C. Cooper; A.H. Good; E. Koren; R. Oriol; A.J. Malcolm; R.M. Ippolito; F.A. Neethling; Y. Ye; E. Romano; N. Zuhdi","D.K.C. Cooper; A.H. Good; E. Koren; R. Oriol; A.J. Malcolm; R.M. Ippolito; F.A. Neethling; Y. Ye; E. Romano; N. Zuhdi","Journal Article","","1","1993","198–205","Transplant immunology","1432"
"Marine fish eggs and larvae off the east coast of South Africa","","C. AD","","","","","C. AD","C. AD","C. AD","Journal Article","","","2012","","","1431"
"Istophorus platypterus. In: IUCN 2012. IUCN Red List of Threatened Species","","C. B","","","","","C. B","C. B","C. B","Journal Article","","2","2011","","","1430"
