scientific_name,class,redlist status,url
Albula oligolepis,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1316
Elops machnata,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1409
Merluccius capensis,Actinopterygii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1442
Caranx papuensis,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1372
Caranx sexfasciatus,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1405
Lichia amia,Actinopterygii,CR,http://speciesstatus.sanbi.org/assessment/last-assessment/1355
Scomberoides commersonnianus,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1250
Seriola dumerili,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1403
Seriola lalandi,Actinopterygii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1344
Seriola rivoliana,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1348
Trachinotus africanus,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1274
Trachinotus botla,Actinopterygii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1285
Chirodactylus grandis,Actinopterygii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1418
Chirodactylus jessicalenorum,Actinopterygii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1419
Coryphaena hippurus,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1415
Dichistius capensis,Actinopterygii,NT,http://speciesstatus.sanbi.org/assessment/last-assessment/1321
Dichistius multifasciatus,Actinopterygii,NT,http://speciesstatus.sanbi.org/assessment/last-assessment/1404
Dinoperca petersi,Actinopterygii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1412
Thyrsites atun,Actinopterygii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1362
Plectorhinchus chubbi,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1268
Plectorhinchus flavomaculatus,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1267
Plectorhinchus playfairi,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1266
Pomadasys commersonnii,Actinopterygii,CR,http://speciesstatus.sanbi.org/assessment/last-assessment/1322
Pomadasys furcatus,Actinopterygii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1300
Pomadasys olivaceus,Actinopterygii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1299
Istiompax indica,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1368
Kajikia audax,Actinopterygii,NT,http://speciesstatus.sanbi.org/assessment/last-assessment/1357
Makaira nigricans,Actinopterygii,VU,http://speciesstatus.sanbi.org/assessment/last-assessment/1333
Neoscorpis lithophilus,Actinopterygii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1312
Lethrinus crocineus,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1349
Lethrinus nebulosus,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1347
Aprion virescens,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1431
Lutjanus argentimaculatus,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1327
Lutjanus rivulatus,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1325
Lutjanus sanguineus,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1324
Paracaesio xanthura,Actinopterygii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1302
Pristipomoides filamentosus,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1263
Liza richardsonii,Actinopterygii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1334
Liza tricuspidens,Actinopterygii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1330
Mugil cephalus,Actinopterygii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1339
Oplegnathus conwayi,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1281
Pomatomus saltatrix,Actinopterygii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1297
Rachycentron canadum,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1257
Argyrosomus inodorus,Actinopterygii,VU,http://speciesstatus.sanbi.org/assessment/last-assessment/1375
Argyrosomus japonicus,Actinopterygii,CR,http://speciesstatus.sanbi.org/assessment/last-assessment/1376
Argyrosomus thorpei,Actinopterygii,CR,http://speciesstatus.sanbi.org/assessment/last-assessment/1374
