scientific_name,redlist status,url
Callorhinchus capensis,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1383
Carcharhinus brachyurus,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1370
Carcharhinus leucas,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1425
Carcharhinus limbatus,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1424
Carcharhinus obscurus,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1420
Prionace glauca,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1292
Rhizoprionodon acutus,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1260
Poroderma africanum,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1429
Poroderma pantherinum,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1428
Sphyrna lewini,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1445
Sphyrna zygaena,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1436
Galeorhinus galeus,EN,http://speciesstatus.sanbi.org/assessment/last-assessment/1444
Mustelus mustelus,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1294
Triakis megalopterus,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1241
Notorynchus cepedianus,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1309
Carcharodon carcharias,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1438
Isurus oxyrinchus,VU,http://speciesstatus.sanbi.org/assessment/last-assessment/1366
Carcharias taurus,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1423
Himantura alcockii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1326
Himantura leoparda,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1272
Gymnura natalensis,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1337
Myliobatis aquila,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1342
Rhinobatos annulatus,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1290
Rhynchobatus djiddensis,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1254
Albula oligolepis,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1316
Elops machnata,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1409
Merluccius capensis,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1442
Caranx papuensis,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1372
Caranx sexfasciatus,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1405
Lichia amia,CR,http://speciesstatus.sanbi.org/assessment/last-assessment/1355
Scomberoides commersonnianus,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1250
Seriola dumerili,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1403
Seriola lalandi,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1344
Seriola rivoliana,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1348
Trachinotus africanus,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1274
Trachinotus botla,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1285
Chirodactylus grandis,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1418
Chirodactylus jessicalenorum,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1419
Coryphaena hippurus,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1415
Dichistius capensis,NT,http://speciesstatus.sanbi.org/assessment/last-assessment/1321
Dichistius multifasciatus,NT,http://speciesstatus.sanbi.org/assessment/last-assessment/1404
Dinoperca petersi,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1412
Thyrsites atun,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1362
Plectorhinchus chubbi,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1268
Plectorhinchus flavomaculatus,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1267
Plectorhinchus playfairi,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1266
Pomadasys commersonnii,CR,http://speciesstatus.sanbi.org/assessment/last-assessment/1322
Pomadasys furcatus,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1300
Pomadasys olivaceus,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1299
Istiompax indica,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1368
Kajikia audax,NT,http://speciesstatus.sanbi.org/assessment/last-assessment/1357
Makaira nigricans,VU,http://speciesstatus.sanbi.org/assessment/last-assessment/1333
Neoscorpis lithophilus,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1312
Lethrinus crocineus,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1349
Lethrinus nebulosus,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1347
Aprion virescens,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1431
Lutjanus argentimaculatus,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1327
Lutjanus rivulatus,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1325
Lutjanus sanguineus,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1324
Paracaesio xanthura,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1302
Pristipomoides filamentosus,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1263
Liza richardsonii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1334
Liza tricuspidens,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1330
Mugil cephalus,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1339
Oplegnathus conwayi,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1281
Pomatomus saltatrix,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1297
Rachycentron canadum,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1257
Argyrosomus inodorus,VU,http://speciesstatus.sanbi.org/assessment/last-assessment/1375
Argyrosomus japonicus,CR,http://speciesstatus.sanbi.org/assessment/last-assessment/1376
Argyrosomus thorpei,CR,http://speciesstatus.sanbi.org/assessment/last-assessment/1374
Atractoscion aequidens,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1378
Johnius dorsalis,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1359
Otolithes ruber,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1305
Umbrina ronchus,NT,http://speciesstatus.sanbi.org/assessment/last-assessment/1318
Acanthocybium solandri,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1433
Euthynnus affinis,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1390
Katsuwonus pelamis,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1353
Scomber japonicus,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1288
Scomberomorus commerson,EN,http://speciesstatus.sanbi.org/assessment/last-assessment/1397
Scomberomorus plurilineatus,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1392
Thunnus alalunga,NT,http://speciesstatus.sanbi.org/assessment/last-assessment/1393
Thunnus albacares,NT,http://speciesstatus.sanbi.org/assessment/last-assessment/1351
Epinephelus andersoni,VU,http://speciesstatus.sanbi.org/assessment/last-assessment/1401
Epinephelus lanceolatus,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1400
Epinephelus malabaricus,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1399
Epinephelus marginatus,VU,http://speciesstatus.sanbi.org/assessment/last-assessment/1398
Epinephelus rivulatus,NT,http://speciesstatus.sanbi.org/assessment/last-assessment/1396
Gracila albomarginata,VU,http://speciesstatus.sanbi.org/assessment/last-assessment/1402
Sphyraena barracuda,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1247
Sphyraena jello,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1246
Xiphias gladius,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1284
Platycephalus indicus,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1278
Galeichthys ater,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1387
Galeichthys feliceps,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1388
